# time[s]                    Y( ac225 )                  Y( fr221 )
 1.1552303506456294E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1554572958999418E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1556842239921017E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1559111360756340E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1561380332759694E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1563649166920387E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1565917873977831E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1568186464435763E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1570454948575604E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1572723336469075E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1574991637990124E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1577259862826208E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1579528020489003E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1581796120324586E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1584064171523114E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1586332183128050E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1589053833176250E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1591774958319514E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1594495575678281E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1597215701733181E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1599935352418758E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1602654543136883E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1605373288765637E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1608091603669544E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1610809501711365E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1613526996265111E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1616244100229893E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1618960826044380E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1621677185701571E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1624393190763753E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1627108852377459E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1630213748111353E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1633319867214560E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1636427255322366E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1639535958507579E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1642646022163201E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1645757490943573E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1648870408793863E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1651984818982484E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1655100764130228E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1658218286236430E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1661337426702618E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1664458226354051E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1667580725459394E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1670704963748735E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1673830980430118E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1676958814204743E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1680088503280948E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1683220085387060E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1686353597783254E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1689489077272428E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1692626560210226E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1695766082514238E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1698907679672439E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1702051386750909E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1705197238400904E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1708345268865286E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1711495511984369E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1714648001201227E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1717802769566459E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1720959849742489E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1724119274007394E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1727281074258298E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1730445282014370E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1733611928419432E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1736781044244198E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1740264480215894E+00      0.0000000000000000E+00      0.0000000000000000E+00
