,Label,Author,Title,Publisher,Year,URL
68,mafo,R Malaney,Late-time neutron diffusion and nucleosynthesis in a post-QCD inhomogeneous Omega(b) = 1 universe,"ApJ 333, 14",1988,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mafo
69,bk91,C.R. Brune,"Cross sections for H3(Li7,n<sub>0</sub>)Be9 and H3(Li7,n<sub>tot</sub>)","PRC 43, 875",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bk91
70,hi09,"Hashimoto, T. et al","A new measurement of the astrophysical Li8(d,t)Li7 reaction","PLB 674, 276",2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=hi09
71,ld11,"La Cognata, M.","The 8Li(a,n)11B reaction rate at astrophysical temperatures","ApJ 736, 148",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ld11
72,gl12,Guo et al,"NEW DETERMINATION OF THE 13C(&alpha;,n)16O REACTION RATE AND ITS INFLUENCE ON THE s-PROCESS NUCLEOSYNTHESIS IN AGB STARS",ApJ 756 193,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=gl12
73,bk92,C.R. Brune,"Total cross sections and thermonuclear reaction rates for C13(d,n) and C14(d,n)","PRC 45, 1382",1992,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bk92
74,kg91,P.E. Koehler,"O17(n,&alpha;)C14 cross section from 25 meV to approximately 1 MeV","PRC 44, 2788",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=kg91
75,wfh,R V Wagoner,On the Synthesis of Elements at Very High Temperatures,"ApJ 148, 3",1967,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wfh
76,Ha96,"Hahn, K I",Structure of 18Ne and the breakout from the hot CNO cycle,"PhRvC 54, 4, p1999-2013",1996,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=Ha96
77,ua08,"Ugalde, C.","Thermonuclear rate for the <sup>19</sup>F(&alpha;,p)<sup>22</sup>Ne reaction at stellar temperatures","PRC 77, 035801",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ua08
78,mv09,A. Matic et al.,"High-precision (p,t) reaction measurement to determine 18Ne(a,p)21Na reaction rates","PRC 80, 055804",2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mv09
79,rolf,"Hulke, G",Comparison of the fusion reactions 12C + 20Ne and 16O + 16O near the coulomb barrier,"Zeitschrift fur Physik A297, 1",1980,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=rolf
80,ol11,"Oginni, B.H.","Theoretical evaluation of the reaction rates for 26Al(n,p)26Mg and 26Al(n,a)23Na","PRC 83, 025802",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ol11
81,SM91,"Scott, A.F.","Cross Sections and Thermonuclear Reaction rates for <sup>41</sup>K(&alpha;,n)<sup>44</sup>Sc and <sup>41</sup>K(&alpha;,p)<sup>44</sup>Ca","NPA 523, 373-385",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM91
