time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
4.479934601827148e-05,18261991263512.523,3726032356273660.5,3744294347537173.0
4.480722311976565e-05,18263919445862.56,3724804328289665.5,3743068247735528.0
4.481510160629629e-05,18265847967246.16,3723576084380700.0,3741841932347946.0
4.4822981478106936e-05,18267776827722.902,3722347624508795.5,3740615401336518.5
4.483086273544115e-05,18269706027352.438,3721118948635994.5,3739388654663347.0
4.483874537854255e-05,18271635566194.39,3719890056724300.0,3738161692290494.5
4.484662940765481e-05,18273565444308.414,3718660948735727.0,3736934514180035.5
4.4854514823021624e-05,18275495661754.156,3717431624632293.5,3735707120294047.5
4.486240162488674e-05,18277390079762.65,3716212611825886.0,3734490001905648.5
4.4870289813493945e-05,18279276052123.02,3714995941978844.5,3733275218030967.5
4.487817938908708e-05,18281162356095.13,3713779058203935.5,3732060220560030.5
4.4886070351910004e-05,18283048991737.293,3712561960463556.0,3730845009455293.5
4.489396270220664e-05,18284935959107.82,3711344648720079.0,3729629584679187.0
4.490185644022096e-05,18286823258265.03,3710127122935882.5,3728413946194147.5
4.490975156619696e-05,18288710889267.277,3708909383073317.0,3727198093962584.5
4.491764808037867e-05,18290598852172.902,3707691429094751.5,3725982027946924.5
4.492554598301021e-05,18292487147040.28,3706473260962544.5,3724765748109585.0
4.49334452743357e-05,18294375773927.754,3705254878639021.5,3723549254412949.5
4.49413459545993e-05,18296264732893.715,3704036282086543.0,3722332546819436.5
4.4949248024045244e-05,18298154023996.56,3702817471267428.5,3721115625291425.0
4.4957151482917786e-05,18300043647294.664,3701598446144009.5,3719898489791304.0
4.496505633146123e-05,18301933602846.47,3700379206678595.0,3718681140281441.5
4.497296256991993e-05,18303823890710.38,3699159752833511.5,3717463576724222.0
4.498087019853827e-05,18305714510944.82,3697940084571049.5,3716245799081994.5
4.498877921756068e-05,18307605463608.24,3696720201853517.0,3715027807317125.0
4.4996689627231644e-05,18309496748759.094,3695500104643197.5,3713809601391956.5
4.500460142779567e-05,18311388366455.836,3694279792902393.0,3712591181268849.0
4.5012514619497334e-05,18313280316756.934,3693059266593367.0,3711372546910124.0
4.5020429202581224e-05,18315172599720.875,3691838525678409.0,3710153698278130.0
4.5028345177292006e-05,18317065215406.16,3690617570119760.5,3708934635335166.5
4.503626254387435e-05,18318931496221.625,3689404114686398.0,3707723046182619.5
4.504418130257301e-05,18320780706226.246,3688195479315398.0,3706516260021624.0
4.505210145363275e-05,18322630241378.637,3686986631429238.0,3705309261670616.5
4.50600229972984e-05,18324480101736.008,3685777570990562.0,3704102051092298.0
4.506794593381481e-05,18326330287355.523,3684568297961990.0,3702894628249345.5
4.507587026342689e-05,18328180798294.36,3683358812306151.0,3701686993104445.5
4.50837959863796e-05,18330031634609.74,3682149113985654.5,3700479145620264.0
4.5091723102917915e-05,18331882796358.85,3680939202963104.0,3699271085759463.0
4.5099651613286884e-05,18333734283598.945,3679729079201105.5,3698062813484704.5
4.510758151773159e-05,18335586096387.227,3678518742662245.0,3696854328758632.0
4.5115512816497137e-05,18337438234780.953,3677308193309119.0,3695645631543900.0
4.5123445509828696e-05,18339290698837.38,3676097431104308.0,3694436721803145.5
4.513137959797147e-05,18341143488613.734,3674886456010372.0,3693227599498985.5
4.513931508117072e-05,18342996604167.32,3673675267989897.5,3692018264594065.0
4.5147251959671734e-05,18344850045555.418,3672463867005440.0,3690808717050995.5
4.5155190233719846e-05,18346703812835.316,3671252253019541.5,3689598956832377.0
4.5163129903560444e-05,18348557906064.305,3670040425994768.0,3688388983900832.5
4.517107096943894e-05,18350412325299.707,3668828385893649.0,3687178798218948.5
4.517901343160082e-05,18352267070598.836,3667616132678719.0,3685968399749318.0
4.5186957290291576e-05,18354122142019.04,3666403666312509.5,3684757788454528.5
4.519490254575676e-05,18355977539617.645,3665190986757547.5,3683546964297165.0
