time_days,Xe135 top 15
7.566372545790439e-05,13053.118192862232
7.567702946561505e-05,13061.171255067504
7.569033581257901e-05,13069.225732858367
7.570364449920763e-05,13077.28162648359
7.571695552591225e-05,13085.338936191982
7.573026889310436e-05,13093.397662232397
7.574358460119547e-05,13101.457804853731
7.57569026505972e-05,13109.51936430493
7.57702230417212e-05,13117.582340834975
7.578354577497924e-05,13125.646734692893
7.579687085078312e-05,13133.712546127757
7.581019826954475e-05,13141.779775388697
7.582352803167609e-05,13149.848422724852
7.583686013758915e-05,13157.918488385425
7.585019458769607e-05,13165.989972619676
7.586353138240901e-05,13174.062875676891
7.587687052214026e-05,13182.137197806414
7.58902120073021e-05,13190.21293925761
7.590355583830696e-05,13198.290100279899
7.59169020155673e-05,13206.368681122762
7.593025053949566e-05,13214.448682035698
7.594360141050466e-05,13222.530103268271
7.595695462900699e-05,13230.612945070065
7.597031019541542e-05,13238.697207690735
7.598366811014277e-05,13246.782891379955
7.599702837360195e-05,13254.869996387462
7.601039098620595e-05,13262.958629858336
7.60237559483678e-05,13271.154464904113
7.603712326050065e-05,13279.3517406306
7.605049292301768e-05,13287.550457290969
7.606386493633217e-05,13295.750615138448
7.607723930085745e-05,13303.952214426294
7.609061601700693e-05,13312.155255407813
7.610399508519415e-05,13320.35973833638
7.61173765058326e-05,13328.565663465364
7.613076027933595e-05,13336.773031048226
7.614414640611791e-05,13344.981841338442
7.615753488659224e-05,13353.192094589545
7.617092572117278e-05,13361.403791055125
7.618431891027349e-05,13369.616930988783
7.619771445430835e-05,13377.8315146442
7.621111235369143e-05,13386.047542275077
7.622451260883688e-05,13394.265014135179
7.62379152201589e-05,13402.483930478289
7.62513201880718e-05,13410.70429155826
7.626472751298991e-05,13418.926097628979
7.62781371953277e-05,13427.14934894438
7.629154923549964e-05,13435.374045758432
7.630496363392035e-05,13443.600188325176
7.631838039100445e-05,13451.827776898654
7.633179950716666e-05,13460.056811732993
7.634522098282182e-05,13468.287293082343
7.635864481838475e-05,13476.51922120091
7.637207101427044e-05,13484.752596342938
7.638549957089388e-05,13492.987418762703
7.63989304886702e-05,13501.223688714565
7.64123637680145e-05,13509.461406452885
7.642579940934207e-05,13517.700572232085
7.643923741306816e-05,13525.941186306634
7.645267777960821e-05,13534.183248931051
7.646612050937766e-05,13542.426760359893
7.647956560279202e-05,13550.671720847762
7.649301306026691e-05,13558.918130649305
7.650646288221799e-05,13567.169720567565
7.651991506906103e-05,13575.52602517611
7.653336962121182e-05,13583.883798670382
7.654682653908629e-05,13592.24304130851
7.656028582310038e-05,13600.603753348663
7.657374747367013e-05,13608.96593504907
7.658721149121166e-05,13617.329586667996
7.660067787614117e-05,13625.694708463765
7.66141466288749e-05,13634.06130069472
7.662761774982919e-05,13642.42936361927
7.664109123942044e-05,13650.79889749586
7.665456709806514e-05,13659.169902582988
7.666804532617983e-05,13667.542379139195
7.668152592418115e-05,13675.916327423063
7.669500889248578e-05,13684.291747693229
7.670849423151053e-05,13692.66864020837
7.67219819416722e-05,13701.047005227192
7.673547202338773e-05,13709.426843008465
7.674896447707411e-05,13717.808153811015
7.67624593031484e-05,13726.190937893687
7.677595650202775e-05,13734.57519551539
7.678945607412936e-05,13742.960926935071
7.680295801987052e-05,13751.348132411718
7.68164623396686e-05,13759.73681220438
7.682996903394101e-05,13768.126966572152
7.684347810310528e-05,13776.51859577414
7.685698954757897e-05,13784.91170006953
7.687050336777974e-05,13793.306279717539
7.688401956412532e-05,13801.702334977455
7.689753813703349e-05,13810.099866108561
7.691105908692213e-05,13818.498873370236
7.692458241420922e-05,13826.89935702188
7.693810811931274e-05,13835.301317322937
7.695163620265078e-05,13843.704754532902
7.696516666464154e-05,13852.109668911324
7.697869950570326e-05,13860.51606071778
7.69922347262542e-05,13868.923930211902
7.700577232671282e-05,13877.358365355243
7.701931230749753e-05,13885.877302506622
7.703285466902688e-05,13894.397737128824
7.704639941171947e-05,13902.919669485016
7.705994653599399e-05,13911.443099838392
7.707349604226919e-05,13919.968028452186
7.70870479309639e-05,13928.494455589715
7.710060220249705e-05,13937.022381514304
7.711415885728756e-05,13945.551806489331
7.712771789575453e-05,13954.082730778244
7.714127931831706e-05,13962.615154644502
7.715484312539436e-05,13971.149078351638
7.716840931740568e-05,13979.684502163227
7.718197789477039e-05,13988.221426342881
7.719554885790789e-05,13996.759851154255
7.720912220723768e-05,14005.299776861073
7.722269794317933e-05,14013.841203727072
7.723627606615247e-05,14022.38413201607
7.724985657657682e-05,14030.9285619919
7.726343947487217e-05,14039.474493918471
7.727702476145836e-05,14048.021928059712
7.729061243675535e-05,14056.570864679612
7.730420250118316e-05,14065.12130404222
7.731779495516183e-05,14073.673246411596
7.733138979911154e-05,14082.226692051863
7.734498703345253e-05,14090.78164122721
7.735858665860508e-05,14099.338094201845
7.737218867498958e-05,14107.89605124003
7.738579308302649e-05,14116.455512606091
