time_days,Nuclei:Pt197 top 1
104.00114761061822,1.665985571857609e-89
104.01943420781315,1.6658857487246315e-89
104.03772402035406,1.6657859200045946e-89
104.05601704880566,1.665686085698575e-89
104.07431329373367,1.665586245807647e-89
104.09261275570408,1.6654864003328814e-89
104.11091543528178,1.6653865492753583e-89
104.12922133303327,1.665286692636148e-89
104.14753044952367,1.6651868304163302e-89
104.16584278531968,1.6650869626169767e-89
104.1841583409866,1.6649870892391673e-89
104.20247711709092,1.6648872102839768e-89
104.22079911419934,1.664787325752479e-89
104.2391243328774,1.6646874356457556e-89
104.25745277369234,1.664587539964879e-89
104.27578443720991,1.6644876387109313e-89
104.29411932399758,1.664387731884986e-89
104.31245743462128,1.664287819488125e-89
104.33079876964867,1.6641879015214232e-89
104.34914332964591,1.6640879779859632e-89
104.36749111518044,1.663988048882821e-89
104.38584212681977,1.6638881142130747e-89
104.40419636513042,1.663788173977808e-89
104.42255383068047,1.6636882281780957e-89
104.44091452403663,1.6635882768150226e-89
104.45927844576717,1.6634883198896657e-89
104.47764559643903,1.6633883574031083e-89
104.49601597662068,1.6632883893564278e-89
104.51438958687922,1.6631884157507106e-89
104.53276642778297,1.663088436587035e-89
104.55114649990037,1.6629884518664816e-89
104.5695298037988,1.662888461590136e-89
104.58791634004724,1.6627884657590767e-89
104.60630610921334,1.6626884643743904e-89
104.62469911186624,1.662588457437157e-89
104.64309534857375,1.6624884449484628e-89
104.66149481990492,1.6623884269093898e-89
104.67989752642883,1.6622884033210195e-89
104.69830346871362,1.6621883741844413e-89
104.71671264732892,1.6620883395007344e-89
104.73512506284311,1.6619882992709878e-89
104.75354071582603,1.6618882534962827e-89
104.77195960684621,1.6617882021777094e-89
104.7903817364737,1.661688145316348e-89
104.80880710527725,1.661588082913289e-89
104.82723571382674,1.661488014969617e-89
104.84566756269221,1.6613879414864166e-89
104.86410265244268,1.661287862464778e-89
104.8825409836487,1.6611877779057853e-89
104.9009825568795,1.6610876878105282e-89
104.91942737270587,1.660987592180092e-89
104.93787543169718,1.6608874910155682e-89
104.95632673442448,1.660787384318041e-89
104.97478128145734,1.660687272088603e-89
104.99323907336658,1.6605871543283408e-89
105.01170011072314,1.660487031038342e-89
105.0301643940969,1.6603869022196996e-89
105.04863192405935,1.6602867678734994e-89
105.06710270118063,1.6601866280008362e-89
105.08557672603243,1.6600864826027952e-89
105.10405399918503,1.659986331680472e-89
105.12253452120996,1.6598861752349542e-89
105.14101829267885,1.6597860132673325e-89
105.15950531416232,1.659685845778701e-89
105.17799558623254,1.659585672770149e-89
105.19648910946036,1.6594854942427707e-89
105.21498588441813,1.6593853101976562e-89
105.23348591167687,1.6592851206359013e-89
105.2519891918092,1.6591849255585945e-89
105.27049572538634,1.6590847249668344e-89
105.28900551298067,1.6589845188617113e-89
105.30751855516476,1.6588843072443167e-89
105.32603485251009,1.65878409011575e-89
105.3445544055898,1.658683867477101e-89
105.36307721497558,1.6585836393294682e-89
105.38160328124074,1.6584834056739424e-89
105.4001326049572,1.658383166511624e-89
105.41866518669843,1.658282921843603e-89
105.43720102703661,1.65818267167098e-89
105.45574012654501,1.6580824159948493e-89
105.47428248579709,1.6579821548163054e-89
105.49282810536528,1.657881888136448e-89
105.51137698582359,1.657781615956371e-89
105.52992912774461,1.6576813382771753e-89
105.54848453170257,1.6575810550999555e-89
105.5670431982703,1.657480766425812e-89
105.58560512802183,1.6573804722558424e-89
105.60417032153129,1.6572801725911417e-89
105.6227387793718,1.657179867432814e-89
105.6413105021181,1.657079556781953e-89
105.6598854903435,1.656979240639663e-89
105.67846374462295,1.656878919007039e-89
105.69704526552994,1.6567785918851853e-89
105.71563005363957,1.6566782592751982e-89
105.7342181095256,1.6565779211781824e-89
105.75280943376299,1.6564775775952356e-89
105.77140402692679,1.6563772285274576e-89
105.79000188959098,1.656276873975954e-89
105.80860302233124,1.656176513941822e-89
105.82720742572177,1.6560761484261678e-89
105.84581510033843,1.655975777430089e-89
105.86442604675564,1.655875400954693e-89
105.8830402655494,1.6557750190010785e-89
105.90165775729439,1.655674631570352e-89
105.92027852256645,1.655574238663615e-89
105.93890256194155,1.6554738402819698e-89
105.95752987599462,1.6553734364265237e-89
105.9761604653022,1.655273027098377e-89
105.99479433043943,1.6551726122986388e-89
106.01343147198305,1.6550721920284096e-89
106.03207189050842,1.654971766288798e-89
106.05071558659245,1.654871335080906e-89
106.06936256081073,1.6547708984058433e-89
106.08801281374,1.654670456264714e-89
106.10666634595714,1.654570008658622e-89
106.125323158038,1.654469555588678e-89
106.14398325056001,1.654369097055985e-89
106.16264662409928,1.6542686330616538e-89
106.1813132792334,1.6541681636067883e-89
106.19998321653866,1.6540676886924998e-89
106.21865643659252,1.6539672083198944e-89
106.2373329399726,1.6538667224900787e-89
106.25601272725544,1.6537662312041652e-89
106.27469579901917,1.6536657344632586e-89
106.2933821558406,1.653565232268472e-89
106.31207179829808,1.6534647246209113e-89
106.33076472696855,1.6533642115216897e-89
106.34946094243061,1.6532636929719136e-89
106.36816044526142,1.653163168972697e-89
106.38686323603936,1.6530626395251488e-89
106.40556931534294,1.6529621046303785e-89
106.42427868374963,1.6528615642895e-89
106.44299134183854,1.6527610185036215e-89
106.46170729018728,1.6526604672738584e-89
106.48042652937517,1.6525599106013198e-89
106.49914905998008,1.6524593484871206e-89
106.51787488258152,1.6523587809323705e-89
106.53660399775754,1.652258207938186e-89
106.55533640608745,1.6521576295056786e-89
106.57407210815069,1.652057045635959e-89
106.59281110452564,1.651956456330146e-89
106.61155339579226,1.651855861589349e-89
106.63029898252918,1.6517552614146866e-89
106.64904786531658,1.6516546558072698e-89
106.66780004473328,1.6515540447682167e-89
106.68655552135925,1.651453428298641e-89
106.70531429577468,1.651352806399657e-89
106.72407636855863,1.651252179072383e-89
106.74284174029181,1.651151546317932e-89
106.76161041155353,1.6510509081374248e-89
