time_days,Nuclei:Fr221 top 6
8.91499940402991,3338684.0293466323
8.916566934839343,3338945.5175501755
8.918134741268856,3339207.047828312
8.91970282336691,3339468.6201871526
8.921271181181977,3339730.234632812
8.922839814762535,3339991.891171402
8.924408724157056,3340253.5898090354
8.92597790941407,3340515.330551835
8.927547370582069,3340777.1134059126
8.92911710770956,3341038.938377384
8.930687120845066,3341300.80547237
8.932257410037124,3341562.714696985
8.933827975334268,3341824.6660573487
8.935398816785046,3342086.6595595824
8.936969934438016,3342348.695209803
8.938541328341728,3342610.7730141315
8.940112998544784,3342872.892978693
8.941684945095751,3343135.0551096075
8.94325716804322,3343397.259412996
8.944829667435789,3343659.505894985
8.946402443322068,3343921.794561697
8.94797549575067,3344184.1254192553
8.949548824770222,3344446.49847379
8.95112243042934,3344708.913731419
8.9526963127767,3344968.9870938635
8.954270471860932,3345227.2609498026
8.955844907730697,3345485.5763475224
8.957419620434663,3345743.933293057
8.958994610021506,3346002.3317924365
8.960569876539912,3346260.771851689
8.96214542003857,3346519.2534768498
8.963721240566183,3346777.7766739493
8.965297338171448,3347036.34144902
8.966873712903112,3347294.9478081
8.96845036480989,3347553.595757222
8.970027293940515,3347812.28530242
8.971604500343732,3348071.0164497322
8.973181984068294,3348329.789205193
8.974759745162965,3348588.6035748417
8.976337783676511,3348847.459564715
8.9779160996577,3349106.3571808487
8.979494693155345,3349365.296429287
8.981073564218232,3349624.277316068
8.982652712895161,3349883.299847233
8.984232139234948,3350142.3640288217
8.985811843286413,3350401.469866877
8.987391825098388,3350660.6173674394
8.98897208471971,3350919.806536556
8.99055262219921,3351179.037380263
8.992133437585778,3351438.309904616
8.993714530928262,3351697.624115651
8.995295902275535,3351956.9800194195
8.996877551676477,3352216.3776219646
8.998459479179981,3352475.8169293324
9.000041684834946,3352735.2979475763
9.001624168690277,3352994.8206827384
9.003206930794892,3353254.3851408707
9.0047899711977,3353513.99132802
9.006373289947666,3353773.639250242
9.007956887093716,3354033.3289135853
9.0095407626848,3354293.060324101
9.011124916769877,3354552.8334878418
9.012709349397916,3354812.64841086
9.014294060617893,3355072.5050992114
9.015879050478793,3355332.403558947
9.017464319029594,3355592.3437961214
9.019049866319328,3355852.325816795
9.020635692396993,3356112.349627022
9.022221797311607,3356372.415232859
9.023808181112198,3356632.5226403624
9.025394843847803,3356892.671855592
9.026981785567468,3357152.8628846067
9.028569006320245,3357413.0957334633
9.030156506155182,3357673.370408223
9.031744285121382,3357933.686914952
9.033332343267912,3358194.045259705
9.034920680643854,3358454.4454485476
9.036509297298307,3358714.8874875414
9.038098193280382,3358971.48090856
9.039687368639187,3359227.777276497
9.04127682342385,3359484.114833085
9.0428665576835,3359740.4935842915
9.04445657146726,3359996.913536081
9.046046864824312,3360253.3746944265
9.047637437803798,3360509.8770652944
9.049228290454888,3360766.420654656
9.05081942282675,3361023.00546848
9.05241083496857,3361279.631512737
9.054002526929544,3361536.2987933992
9.055594498758866,3361793.007316437
9.057186750505736,3362049.7570878244
9.058779282219401,3362306.548113536
9.06037209394907,3362563.380399545
9.061965185743981,3362820.2539518275
9.063558557653378,3363077.1687763557
9.065152209726515,3363334.124879108
9.066746142012649,3363591.12226606
9.068340354561052,3363848.1609431906
9.069934847421006,3364105.2409164757
9.071529620641776,3364362.3621918913
9.073124674272696,3364619.5247754236
9.074720008363053,3364876.728673049
9.076315622962161,3365133.9738907465
9.077911518119338,3365391.2604344995
9.07950769388392,3365648.5883102887
9.081104150305242,3365905.957524097
9.082700887432656,3366163.3680819077
9.0842979053155,3366420.8199897003
9.085895204003172,3366678.3132534665
9.08749278354503,3366935.8478791877
9.08909064399046,3367193.423872849
9.09068878538885,3367451.041240438
9.092287207789598,3367708.6999879405
9.093885911242118,3367966.400121345
9.095484895795824,3368224.14164664
9.097084161500128,3368481.9245698093
9.098683708404497,3368739.748896851
9.100283536558358,3368997.614633751
9.101883646011164,3369255.5217865007
9.103484036812374,3369513.4703610893
9.105084709011459,3369771.4603635124
9.106685662657897,3370029.491799761
9.108286897801177,3370287.564675827
9.109888414490792,3370545.678997707
9.111490212776232,3370803.834771393
9.113092292707043,3371062.032002884
9.11469465433273,3371320.2706981744
9.116297297702822,3371578.5508632585
9.11790022286686,3371836.8725041375
9.119503429874394,3372095.2356268065
9.121106918774975,3372353.640237266
9.122710689618176,3372608.798432322
9.124314742453548,3372863.053835732
9.12591907733071,3373117.3500653612
9.127523694299239,3373371.687127111
9.12912859340873,3373626.065026884
9.130733774708796,3373880.483770584
9.132339238249054,3374134.943364118
9.13394498407913,3374389.44381339
9.135551012248662,3374643.9851243054
9.137157322807274,3374898.5673027686
9.13876391580465,3375153.1903546937
9.140370791290442,3375407.8542859824
9.141977949314313,3375662.5591025474
9.143585389925946,3375917.304810296
9.145193113175026,3376172.091415137
9.14680111911125,3376426.9189229836
9.148409407784326,3376681.7873397428
9.150017979243964,3376936.696671331
9.151626833539874,3377191.6469236556
9.153235970721814,3377446.6381026334
9.154845390839515,3377701.670214178
9.15645509394272,3377956.7432642025
9.15806508008119,3378211.857258622
9.15967534930469,3378467.012203353
9.161285901662994,3378722.2081043087
9.16289673720589,3378977.444967409
