time_days,Nuclei:Ra224 top 10
7.774034854113816e-05,0.3027784831427696
7.775401768299128e-05,0.3031888811139707
7.776768922829952e-05,0.3035993512456887
7.77813631774855e-05,0.30400989355061203
7.779503953097188e-05,0.3044205080414305
7.78087182891814e-05,0.30483119473083703
7.78223994525369e-05,0.30524195363152584
7.783608302146127e-05,0.30565278475619406
7.784976899637749e-05,0.30606368811754114
7.786345737770859e-05,0.3064746637282681
7.787714816587772e-05,0.3068857116010789
7.789084136130804e-05,0.307296831748679
7.790453696442288e-05,0.3077080241837776
7.791823497564553e-05,0.30811928891908347
7.793193539539943e-05,0.30853062596731035
7.794563822410804e-05,0.3089446851894385
7.795934346219498e-05,0.3093716984446927
7.797305111008386e-05,0.3097987867819392
7.798676116819843e-05,0.3102259502143793
7.800047363696244e-05,0.3106531887552174
7.801418851679977e-05,0.3110805024176595
7.802790580813438e-05,0.3115078912149143
7.804162551139026e-05,0.31193535516019305
7.805534762699152e-05,0.31236289426670893
7.806907215536232e-05,0.3127905085476778
7.808279909692688e-05,0.3132181980163169
7.809652845210955e-05,0.3136459626858473
7.811026022133468e-05,0.3140738025694914
7.812399440502676e-05,0.3145017176804739
7.813773100361032e-05,0.31492970803202236
7.815147001750996e-05,0.31535777363736583
7.816521144715038e-05,0.31578591450973703
7.817895529295632e-05,0.3162141306623695
7.819270155535266e-05,0.3166424221085002
7.820645023476427e-05,0.3170707888613678
7.822020133161617e-05,0.31749923093421417
7.823395484633338e-05,0.3179277483402816
7.824771077934106e-05,0.318356341092817
7.826146913106443e-05,0.318785009205068
7.827522990192873e-05,0.31921375269028535
7.828899309235937e-05,0.31964257156172177
7.830275870278175e-05,0.32007146583263285
7.831652673362139e-05,0.32050043551627544
7.833029718530389e-05,0.32092948062591026
7.834407005825489e-05,0.3213586011747988
7.835784535290012e-05,0.32178779717620587
7.83716230696654e-05,0.3222170686433985
7.838540320897661e-05,0.32264641558964546
7.839918577125971e-05,0.3230758380282185
7.841297075694073e-05,0.3235053359723915
7.842675816644576e-05,0.3239442476104842
7.844054800020102e-05,0.3243899769853409
7.845434025863276e-05,0.3248357847330559
7.846813494216727e-05,0.3252816708674088
7.8481932051231e-05,0.3257276354021833
7.849573158625043e-05,0.3261736783511638
7.85095335476521e-05,0.3266197997281382
7.852333793586268e-05,0.32706599954689736
7.853714475130881e-05,0.32751227782123243
7.855095399441732e-05,0.32795863456493834
7.856476566561507e-05,0.32840506979181333
7.857857976532897e-05,0.3288515835156564
7.859239629398604e-05,0.32929817575026993
7.860621525201336e-05,0.3297448465094586
7.86200366398381e-05,0.33019159580702945
7.863386045788747e-05,0.33063842365679175
7.864768670658879e-05,0.33108533007255736
7.866151538636946e-05,0.33153231506814074
7.867534649765692e-05,0.33197937865735877
7.868918004087871e-05,0.33242652085403024
7.870301601646242e-05,0.3328737416719765
7.871685442483576e-05,0.3333210411250221
7.873069526642648e-05,0.33376841922699363
7.87445385416624e-05,0.3342158759917195
7.875838425097145e-05,0.3346634114330309
7.877223239478161e-05,0.3351110255647619
7.878608297352093e-05,0.335558718400749
7.879993598761756e-05,0.3360064899548299
7.88137914374997e-05,0.33645434024084636
7.882764932359566e-05,0.33690226927264233
7.884150964633376e-05,0.33735027706406207
7.885537240614245e-05,0.33779836362895527
7.886923760345025e-05,0.3382465289811721
7.888310523868576e-05,0.33869477313456603
7.889697531227762e-05,0.33914525373632537
7.891084782465459e-05,0.33961029787653446
7.892472277624546e-05,0.34007542378572764
7.893860016747912e-05,0.34054063147828234
7.895247999878455e-05,0.34100592096857874
7.896636227059078e-05,0.34147129227099954
7.898024698332693e-05,0.34193674539992963
7.89941341374222e-05,0.3424022803697566
7.900802373330583e-05,0.3428678971948707
7.902191577140718e-05,0.34333359588966406
7.903581025215566e-05,0.3437993764685328
7.904970717598076e-05,0.3442652389458736
7.906360654331206e-05,0.34473118333608754
7.90775083545792e-05,0.34519720965357703
7.90914126102119e-05,0.34566331791274735
7.910531931063992e-05,0.3461295081280063
7.911922845629319e-05,0.3465957803137643
7.913314004760162e-05,0.347062134484435
7.914705408499525e-05,0.3475285706544328
7.916097056890414e-05,0.3479950888381759
7.917488949975849e-05,0.34846168905008484
7.918881087798856e-05,0.34892837130458304
7.920273470402465e-05,0.34939513561609564
7.921666097829716e-05,0.34986198199905094
7.923058970123657e-05,0.3503289104678798
7.924452087327344e-05,0.35079592103701496
7.925845449483839e-05,0.35126301372089247
7.927239056636213e-05,0.35173018853395055
7.928632908827543e-05,0.3521974454906301
7.930027006100914e-05,0.35266478460537454
7.931421348499419e-05,0.35313220589262917
7.932815936066159e-05,0.35359970936684315
7.934210768844243e-05,0.3540672950424673
7.935605846876786e-05,0.3545349629339547
7.93700117020691e-05,0.355002713055762
7.938396738877746e-05,0.35548457132898337
7.939792552932435e-05,0.35596970953207385
7.941188612414122e-05,0.35645493303729925
7.942584917365958e-05,0.35694024185965784
7.94398146783111e-05,0.357425636014152
7.945378263852739e-05,0.3579111155157839
7.946775305474026e-05,0.3583966803795616
7.948172592738154e-05,0.3588823306204934
7.949570125688315e-05,0.359368066253592
7.950967904367708e-05,0.3598538872938718
7.952365928819541e-05,0.3603397937563499
7.953764199087026e-05,0.3608257856560458
7.955162715213385e-05,0.36131186300798235
7.95656147724185e-05,0.36179802582718446
7.957960485215657e-05,0.3622842741286801
7.959359739178049e-05,0.36277060792749954
7.96075923917228e-05,0.3632570272386756
7.96215898524161e-05,0.36374353207724425
7.963558977429307e-05,0.3642301224582439
7.964959215778646e-05,0.3647167983967152
7.966359700332908e-05,0.3652035599077017
7.967760431135384e-05,0.3656904070062497
7.969161408229374e-05,0.3661773397074088
7.970562631658182e-05,0.36666435802622965
7.971964101465122e-05,0.3671514619777666
7.973365817693513e-05,0.36763865157707687
7.974767780386686e-05,0.36812592683921985
7.976169989587978e-05,0.368613287779258
7.977572445340729e-05,0.36910073441225527
7.97897514768829e-05,0.3695882667532793
7.980378096674023e-05,0.3700758848174002
7.981781292341292e-05,0.3705635886196911
7.983184734733474e-05,0.3710513781752271
7.98458842389395e-05,0.3715392534990861
7.985992359866109e-05,0.3720384846789793
7.987396542693346e-05,0.37254435010856113
7.98880097241907e-05,0.3730503044847578
7.990205649086688e-05,0.3735563478232082
7.991610572739626e-05,0.3740624801395553
7.993015743421307e-05,0.3745687014494439
7.99442116117517e-05,0.3750750117685219
7.995826826044654e-05,0.3755814111124395
7.99723273807321e-05,0.3760878994968501
7.998638897304299e-05,0.3765944769374098
8.000045303781385e-05,0.3771011434497776
8.001451957547943e-05,0.3776078990496144
8.00285885864745e-05,0.37811474375258486
8.004266007123399e-05,0.3786216775743564
8.005673403019285e-05,0.3791287005305983
8.007081046378613e-05,0.3796358126369839
8.008488937244891e-05,0.3801430139091869
8.009897075661643e-05,0.38065030436288694
8.011305461672393e-05,0.38115768401376415
8.012714095320676e-05,0.381665152877502
8.014122976650034e-05,0.38217271096978683
8.01553210570402e-05,0.3826803583063084
8.016941482526188e-05,0.3831880949027578
8.018351107160104e-05,0.38369592077483033
8.019760979649343e-05,0.38420383593822255
8.021171100037484e-05,0.3847118404086355
8.022581468368114e-05,0.3852199342017712
8.02399208468483e-05,0.38572811733333584
8.025402949031237e-05,0.3862363898190374
8.026814061450944e-05,0.38674475167458783
8.028225421987572e-05,0.38725320291570015
8.029637030684746e-05,0.3877617435580918
8.031048887586101e-05,0.38827037361748196
8.032460992735278e-05,0.3887790931095928
8.033873346175928e-05,0.38929861628194196
8.035285947951706e-05,0.3898259451944364
8.036698798106282e-05,0.39035336682748184
8.038111896683324e-05,0.39088088119738196
8.039525243726512e-05,0.3914084883204411
8.040938839279536e-05,0.3919361882129694
8.04235268338609e-05,0.39246398089127804
8.04376677608988e-05,0.3929918663716818
8.045181117434615e-05,0.3935198446704985
8.046595707464014e-05,0.39404791580404774
8.048010546221803e-05,0.3945760797886531
8.049425633751718e-05,0.39510433664064026
8.050840970097499e-05,0.3956326863763387
8.052256555302895e-05,0.3961611290120801
8.053672389411665e-05,0.39668966456419846
8.055088472467573e-05,0.397218293049032
8.056504804514391e-05,0.3977470144829208
8.0579213855959e-05,0.39827582888220836
8.059338215755887e-05,0.3988047362632408
8.06075529503815e-05,0.39933373664236693
8.06217262348649e-05,0.39986283003593875
8.063590201144719e-05,0.400392016460311
8.065008028056653e-05,0.4009212959318411
8.066426104266124e-05,0.40145066846689026
8.067844429816963e-05,0.40198013408182137
8.069263004753012e-05,0.40250969279300103
8.07068182911812e-05,0.4030393446167979
8.072100902956144e-05,0.40356908956958404
8.073520226310952e-05,0.40409892766773514
8.074939799226413e-05,0.4046288589276276
8.07635962174641e-05,0.4051588833656437
8.077779693914829e-05,0.4056890009981656
8.079200015775568e-05,0.40621921184158083
8.080620587372528e-05,0.40674951591227787
8.082041408749623e-05,0.40729246169078354
8.083462479950771e-05,0.407842012199711
8.0848838010199e-05,0.4083916593364255
8.086305372000941e-05,0.40894140311791644
8.08772719293784e-05,0.4094912435611776
8.089149263874545e-05,0.4100411806832049
8.090571584855013e-05,0.41059121450099717
8.091994155923211e-05,0.41114134503155675
8.093416977123111e-05,0.41169157229188846
8.094840048498695e-05,0.41224189629900065
8.096263370093952e-05,0.41279231706990444
8.097686941952874e-05,0.41334283462161286
8.09911076411947e-05,0.4138934489711444
8.100534836637752e-05,0.4144441601355186
8.101959159551734e-05,0.4149949681317573
8.103383732905448e-05,0.41554587297688766
8.104808556742928e-05,0.41609687468793816
8.106233631108216e-05,0.41664797328194103
8.107658956045363e-05,0.41719916877593144
8.109084531598428e-05,0.41775046118694686
8.110510357811474e-05,0.4183018505320283
8.11193643472858e-05,0.4188533368282205
8.113362762393822e-05,0.41940492009256936
8.114789340851293e-05,0.41995660034212523
8.116216170145087e-05,0.42050837759394133
8.117643250319313e-05,0.42106025186507373
8.119070581418078e-05,0.4216122231725806
8.120498163485506e-05,0.4221642915335244
8.121925996565725e-05,0.4227164569649701
8.123354080702868e-05,0.42326871948398553
8.12478241594108e-05,0.42382107910764183
8.126211002324515e-05,0.4243735358530131
8.127639839897329e-05,0.42492608973717555
8.129068928703689e-05,0.42547874077720943
8.130498268787769e-05,0.42604846046471967
8.131927860193754e-05,0.4266210130835156
8.133357702965834e-05,0.4271936663745727
8.134787797148203e-05,0.42776642035559115
8.13621814278507e-05,0.4283392750442755
8.137648739920647e-05,0.42891223045833415
8.139079588599154e-05,0.4294852866154768
8.140510688864824e-05,0.43005844353341793
8.14194204076189e-05,0.4306317012298736
8.1433736443346e-05,0.43120505972256434
8.144805499627202e-05,0.43177851902921277
8.146237606683959e-05,0.43235207916754553
8.147669965549138e-05,0.43292574015529134
8.149102576267015e-05,0.4334995020101831
8.150535438881875e-05,0.4340733647499563
8.151968553438004e-05,0.43464732839234865
8.153401919979708e-05,0.4352213929551032
8.154835538551289e-05,0.4357955584559642
8.156269409197061e-05,0.43636982491267956
8.157703531961351e-05,0.43694419234300047
8.159137906888485e-05,0.43751866076468127
8.160572534022804e-05,0.43809323019547936
8.16200741340865e-05,0.4386679006531548
8.163442545090382e-05,0.43924267215547186
8.164877929112358e-05,0.4398175447201974
8.166313565518945e-05,0.4403925183651001
8.167749454354525e-05,0.4409675931079537
8.169185595663477e-05,0.4415427689665341
8.170621989490198e-05,0.4421180459586208
8.172058635879088e-05,0.44269342410199597
8.173495534874553e-05,0.44326890341444497
8.17493268652101e-05,0.4438444839137563
8.176370090862884e-05,0.4444201656177223
8.177807747944605e-05,0.4449997702615244
8.179245657810613e-05,0.44559602361624007
8.180683820505357e-05,0.4461923818105307
8.18212223607329e-05,0.4467888448628298
8.183560904558873e-05,0.4473854127915746
8.18499982600658e-05,0.447982085615205
8.186439000460889e-05,0.44857886335216585
8.187878427966288e-05,0.44917574602090327
8.189318108567266e-05,0.44977273363986736
8.190758042308328e-05,0.45036982622751237
8.192198229233985e-05,0.4509670238022944
8.193638669388753e-05,0.4515643263826736
8.195079362817158e-05,0.4521617339871128
8.196520309563735e-05,0.45275924663407957
8.197961509673022e-05,0.4533568643420419
8.199402963189568e-05,0.45395458712947356
8.200844670157931e-05,0.4545524150148506
8.202286630622677e-05,0.45515034801665233
8.203728844628376e-05,0.45574838615336194
8.20517131221961e-05,0.4563465294434649
8.206614033440966e-05,0.4569447779054503
8.20805700833704e-05,0.4575431315578105
8.209500236952437e-05,0.45814159041904196
