time_days,Nuclei:Hf181 top 19
3.033787297453539,1282650.074697419
3.034320730473835,1282635.530142053
3.0348542572880453,1282620.9831053151
3.035387877912663,1282606.4335867942
3.035921592364181,1282591.88158608
3.036455400659093,1282577.3271027624
3.0369893028139106,1282562.7701364309
3.0375232988451306,1282548.210686676
3.03805738876926,1282533.6487530854
3.0385915726028085,1282519.0843352503
3.039125850362287,1282504.5174327593
3.039660222064212,1282489.9480452018
3.0401946877251005,1282475.3761721668
3.040729247361474,1282460.8018132441
3.0412639009898506,1282446.2249680222
3.0417986486267674,1282431.6491014636
3.0423334902887493,1282417.0723395087
3.0428684259923275,1282402.493090885
3.0434034557540395,1282387.9113551814
3.043938579590422,1282373.3271319864
3.044473797518017,1282358.7404208889
3.045009109553368,1282344.151221478
3.0455445157130163,1282329.5595333425
3.046080016013524,1282314.965356071
3.0466156104714375,1282300.3686892523
3.047151299103313,1282285.7695324752
3.0476870819257096,1282271.1678853275
3.0482229589551872,1282256.563747398
3.0487589302083125,1282241.957118275
3.049294995701652,1282227.3479975478
3.0498311554517694,1282212.7363848037
3.0503674094752506,1282198.1222796305
3.050903757788666,1282183.5056816174
3.0514402004085928,1282168.886590352
3.051976737351616,1282154.265005422
3.052513368634318,1282139.6409264158
3.0530500942732877,1282125.014352921
3.0535869142851157,1282110.385284525
3.0541238286863956,1282095.7537208172
3.0546608374937185,1282081.1196613833
3.055197940723695,1282066.4831058122
3.055735138392922,1282051.8440536913
3.0562724305180047,1282037.2025046076
3.056809817115551,1282022.5584581492
3.0573472982021728,1282007.9119139027
3.0578848737944835,1281993.2628714556
3.0584225439091,1281978.611330396
3.058960308562638,1281963.9572903104
3.05949816777173,1281949.3007507857
3.0600361215529968,1281934.6417114097
3.0605741699230666,1281919.9801717687
3.061112312898572,1281905.3161314495
3.061650550496147,1281890.64959004
3.062188882732429,1281875.980547126
3.0627273096240577,1281861.3090022944
3.0632658311876724,1281846.6349551328
3.0638044474399297,1281831.9584052265
3.0643431583974734,1281817.2793521627
3.0648819640769545,1281802.5977955277
3.0654208644950294,1281787.9137349087
3.065959859668356,1281773.2271698907
3.066498949613594,1281758.538100061
3.0670381343474085,1281743.8465250055
3.0675774138864655,1281729.1524443098
3.068116788247429,1281714.455857562
3.068656257446983,1281699.7567643456
3.069195821501798,1281685.057176975
3.0697354804285517,1281670.3581692493
3.0702752342439266,1281655.656654683
3.070815082964605,1281640.952632863
3.071355026607276,1281626.246103375
3.071895065188629,1281611.5370658042
3.0724351987253526,1281596.825519737
3.0729754272341525,1281582.1114647589
3.0735157507317226,1281567.3949004556
3.0740561692347654,1281552.675826412
3.0745966827599847,1281537.9542422139
3.07513729132409,1281523.2301474472
3.0756779949437907,1281508.503541697
3.0762187936358014,1281493.7744245487
3.076759687416838,1281479.042795587
3.077300676303614,1281464.3086543984
3.077841760312865,1281449.572000566
3.078382939461309,1281434.8328336757
3.078924213765675,1281420.0911533132
3.0794655832426945,1281405.3469590626
3.0800070479091017,1281390.6002505093
3.0805486077816346,1281375.8510272375
3.081090262877032,1281361.0992888324
3.0816320132120314,1281346.3450348782
3.082173858803391,1281331.58826496
3.082715799667854,1281316.828978662
3.0832578358221725,1281302.0671755685
3.0837999672831002,1281287.3028552642
3.0843421940673963,1281272.5360173336
3.084884516191821,1281257.7666613606
3.0854269336731375,1281242.9947869293
3.0859694465281082,1281228.2203936244
3.086512054773513,1281213.4434810297
3.0870547584261185,1281198.6640487288
3.0875975575027015,1281183.8820963064
3.0881404520200393,1281169.0976233457
3.088683441994914,1281154.3106294307
3.0892265274441093,1281139.5211141456
3.0897697083844133,1281124.7290770737
3.090312984832616,1281109.934517799
3.0908563568055043,1281095.1374359042
3.091399824319887,1281080.337830974
3.0919433873925564,1281065.5357025908
3.0924870460403144,1281050.7310503388
3.093030800279968,1281035.9238738003
3.0935746501283226,1281021.1141725588
3.0941185956021906,1281006.3019461993
3.094662636718386,1280991.4871943025
3.09520677349372,1280976.669916452
3.0957510059450226,1280961.8501122317
3.096295334089112,1280947.0277812243
3.096839757942814,1280932.2058152973
3.0973842775229565,1280917.3835720457
3.0979288928463724,1280902.5588016312
3.0984736039298943,1280887.731503637
3.099018410790362,1280872.9016776471
3.099563313444609,1280858.0693232429
3.1001083119094908,1280843.2344400068
3.100653406201847,1280828.3970275226
3.101198596338529,1280813.5570853718
3.1017438823363874,1280798.7146131378
3.102289264212278,1280783.8696104013
3.1028347419830595,1280769.0220767464
3.103380315665593,1280754.1720117542
3.1039259852767422,1280739.3194150075
3.10447175083337,1280724.4642860878
3.105017612352357,1280709.6066245777
3.1055635698505704,1280694.746430059
3.1061096233448864,1280679.8837021133
3.1066557728521835,1280665.0184403232
3.1072020183893456,1280650.1506442695
3.1077483599732565,1280635.2803135347
3.1082947976208044,1280620.4074477002
3.108841331348874,1280605.5320463479
3.1093879611743707,1280590.6541090587
3.1099346871141864,1280575.7736354142
3.1104815091852207,1280560.8906249958
3.111028427404376,1280546.0050773858
3.111575441788558,1280531.1169921642
3.112122552354676,1280516.2263689127
3.112669759119642,1280501.3332072124
3.11321706210037,1280486.4375066445
3.113764461313772,1280471.5392667905
3.1143119567767807,1280456.6384872303
3.1148595485063137,1280441.7351675453
3.1154072365192973,1280426.8293073159
3.115955020832661,1280411.9209061242
3.116502901463338,1280397.009963549
3.117050878428264,1280382.0964791724
3.1175989517443763,1280367.180452574
3.1181471214286125,1280352.2618833354
3.1186953874979264,1280337.340771036
3.1192437499692613,1280322.4171152567
3.119792208859567,1280307.4909155774
3.120340764185797,1280292.5621715789
3.120889415964908,1280277.6308828408
3.1214381642138593,1280262.6970489437
3.1219870089496125,1280247.760669467
3.1225359501891283,1280232.8217439917
3.123084987949386,1280217.8802720977
3.1236341222473514,1280202.936253363
3.124183353099998,1280187.9906233342
3.1247326805243043,1280173.0466946224
3.1252821045372494,1280158.1002186947
3.125831625155817,1280143.1511951298
3.126381242396994,1280128.1996235081
3.1269309562777683,1280113.2455034093
3.127480766815128,1280098.2888344121
3.1280306740260784,1280083.329616097
3.128580677927612,1280068.3678480426
3.1291307785367315,1280053.4035298289
3.129680975870439,1280038.4366610344
3.130231269945743,1280023.4672412395
3.130781660779653,1280008.4952700227
3.1313321483891827,1279993.5207469626
3.1318827327913423,1279978.5436716387
3.1324334140031627,1279963.5640436306
3.132984192041659,1279948.581862516
3.1335350669238573,1279933.5971278746
3.1340860386667857,1279918.6098392848
3.134637107287476,1279903.6199963258
3.1351882728029605,1279888.6275985753
3.1357395352302775,1279873.6326456126
3.136290894586466,1279858.6351370164
3.136842350888566,1279843.635072365
3.137393904153632,1279828.6324512358
3.1379455543987085,1279813.6272732085
3.1384973016408475,1279798.6195378609
3.139049145897104,1279783.6092447704
3.1396010871845372,1279768.5963935163
3.140153125520206,1279753.580983676
3.1407052609211767,1279738.5630148277
3.1412574934045088,1279723.5424865491
3.1418098229872853,1279708.5193984192
3.142362249686572,1279693.4937500136
3.142914773519446,1279678.465540912
3.143467394502986,1279663.4347706912
3.1440201126542755,1279648.4014389291
3.1445729279903967,1279633.365545203
3.145125840528441,1279618.3270890906
3.14567885028549,1279603.2860701694
3.146231957278653,1279588.2424880168
3.1467851615250186,1279573.1963422094
3.147338463041689,1279558.1476323248
3.1478918618457654,1279543.0963579405
3.1484453579543548,1279528.0425186337
3.148998951384567,1279512.9861139802
3.1495526421535125,1279497.9271435584
3.150106430278308,1279482.8656069445
3.1506603157760655,1279467.8015037158
