time_days,Nuclei:Ir195 top 14
0.0003802429801367736,282226474.1111976
0.00038030983853568344,282354885.47935694
0.0003803767086903538,282483319.3012714
0.00038044359060285216,282611775.5808461
0.0003805104842752455,282740254.321985
0.00038057738970960194,282868755.5285946
0.0003806443069079892,282997279.2045804
0.0003807112358724763,283125825.35385007
0.00038077817660513163,283254393.9803105
0.0003808451291080244,283382985.08787
0.00038091209338322435,283511598.6804376
0.0003809790694328014,283640234.7619232
0.0003810460572588258,283768893.33623666
0.0003811130568633681,283897574.407289
0.0003811800682484997,284026277.9789922
0.00038124709141629145,284155004.0552579
0.00038131412636881564,284283825.782557
0.00038138117310814395,284413565.16976136
0.0003814482316363492,284543327.24258095
0.0003815153019555039,284673112.0049593
0.0003815823840676817,284802919.46084255
0.0003816494779749557,284932749.6141755
0.0003817165836794002,285062602.4689053
0.00038178370118308925,285192478.02897865
0.0003818508304880978,285322376.2983437
0.00038191797159650053,285452297.2809484
0.0003819851245103733,285582240.9807425
0.0003820522892317913,285712207.40167534
0.0003821194657628313,285842196.54769814
0.00038218665410556915,285972208.4227611
0.0003822538542620823,286102243.0308171
0.0003823210662344476,286232300.3758181
0.0003823882900247426,286362380.4617171
0.0003824555256350456,286492483.292469
0.00038252277306743444,286622608.8720271
0.00038259003232398836,286752757.20434785
0.0003826573034067859,286882928.2933863
0.00038272458631790685,287013122.14309967
0.00038279188105943076,287143338.757445
0.000382859187633438,287273578.14038056
0.00038292650604200877,287403840.2958645
0.00038299383628722435,287534125.22785705
0.0003830611783711655,287664432.9403169
0.0003831285322959143,287794763.43720627
0.00038319589806355247,287925116.7224853
0.0003832632756761625,288055492.80011714
0.0003833306651358268,288185891.67406356
0.0003833980664446289,288316313.34828883
0.00038346547960465177,288446757.82675636
0.0003835329046179796,288577225.1134315
0.0003836003414866963,288707715.2122793
0.0003836677902128867,288838228.12726647
0.00038373525079863545,288968763.8623595
0.00038380272324602783,289099322.4215258
0.00038387020755714966,289229903.80873364
0.0003839377037340868,289360508.02795213
0.0003840052117789257,289491135.08315086
0.0003840727316937529,289622387.2174335
0.00038414026348065596,289754059.40931153
0.0003842078071417218,289885754.62383497
0.0003842753626790388,290017472.8650076
0.00038434293009469476,290149214.1368318
0.0003844105093907785,290280978.44331235
0.0003844781005693787,290412765.7884534
0.00038454570363258506,290544576.17626107
0.0003846133185824868,290676409.6107407
0.0003846809454211745,290808266.0959001
0.000384748584150738,290940145.6357458
0.00038481623477326854,291072048.23428655
0.000384883897290857,291203973.89553094
0.0003849515717055951,291335922.6234889
0.00038501925801957446,291467894.4221703
0.00038508695623488775,291599889.29558647
0.00038515466635362697,291731907.2477484
0.0003852223883778858,291863948.2826693
0.00038529012230975715,291996012.4043617
0.00038535786815133475,292128099.6168391
0.0003854256259047129,292260209.9241161
0.0003854933955719858,292392343.33020777
0.00038556117715524867,292524499.8391303
0.0003856289706565962,292656679.45489925
0.00038569677607812455,292788882.1815328
0.0003857645934219291,292921108.023048
0.00038583242269010646,293053356.9834638
0.00038590026388475313,293185629.06679916
0.00038596811700796646,293317924.27707446
0.0003860359820618434,293450242.6183097
0.0003861038590484822,293582584.09452665
0.0003861717479699806,293714948.7097471
0.00038623964882843746,293847336.4679938
0.0003863075616259513,293979747.3732898
0.0003863754863646217,294112181.4296597
0.0003864434230465481,294244638.64112794
0.00038651137167383063,294377119.0117202
0.0003865793322485694,294509622.54546183
0.00038664730477286553,294642149.2463811
0.00038671528924881965,294774699.118504
0.0003867832856785337,294907272.16585994
0.0003868512940641092,295039889.5631911
0.00038691931440764835,295173506.12672096
0.000386987346711254,295307146.0519163
0.0003870553909770287,295440809.342838
0.00038712344720707623,295574496.0035485
0.0003871915154034999,295708206.03811
0.00038725959556840393,295841939.4505864
0.0003873276877038926,295975696.2450413
0.00038739579181207106,296109476.42554015
0.0003874639078950441,296243279.9961475
0.0003875320359549175,296377106.9609304
0.0003876001759937969,296510957.32395506
0.00038766832801378885,296644831.08928955
0.0003877364920169998,296778728.2610019
0.00038780466800553706,296912648.84316117
0.00038787285598150756,297046592.8398368
0.0003879410559470196,297180560.25509965
0.00038800926790418075,297314551.0930203
0.00038807749185509996,297448565.3576708
0.0003881457278018858,297582603.05312335
0.0003882139757466478,297716664.1834517
0.0003882822356914955,297850748.7527293
0.00038835050763853844,297984856.76503026
0.00038841879158988773,298118988.224431
0.0003884870875476534,298253143.13500625
0.000388555395513947,298387321.50083363
0.00038862371549087965,298521523.3259897
0.00038869204748056364,298655748.6145535
0.00038876039148511075,298789997.3706031
0.0003888287475066339,298924269.5982182
0.00038889711554724557,299058565.30147856
0.0003889654956090598,299192884.48446614
0.00038903388769418953,299327227.1512611
0.00038910229180474937,299461593.30594677
0.00038917070794285347,299595982.95260566
0.00038923913611061685,299730396.0953217
0.00038930757631015447,299864832.7381791
0.0003893760285435821,299999292.88526297
