time_days,Nuclei:Ac228 top 11
409.62150866410326,1708.3931585579467
409.6935327109855,1708.0943391110286
409.7655694219097,1707.7955574323798
409.8376187990994,1707.4968135194683
409.9096808447848,1707.1981073697393
409.98175556119065,1706.899438980652
410.05384295054597,1706.6008083496647
410.12594301508085,1706.3022154742155
410.1980557570208,1706.0036603517735
410.27018117859797,1705.7051734502231
410.3423192820388,1705.4067405497156
410.41447006957617,1705.108345388648
410.4866335434373,1704.8099879644865
410.55880970585434,1704.5116682746718
410.63099855905995,1704.2133863166468
410.70320010528235,1703.91514208788
410.7754143467565,1703.616935585801
410.8476412857117,1703.3187668078726
410.91988092438334,1703.0206357515333
410.9921332650016,1702.7225424142403
411.0643983098027,1702.424486793426
411.13667606101757,1702.126468886553
411.2089665208819,1701.8284886910592
411.2812696916317,1701.5305462043852
411.3535855754989,1701.2326414239853
411.42591417472187,1700.9347743472933
411.4982554915334,1700.636944971766
411.5706095281727,1700.3391532948315
411.64297628687314,1700.0413993139482
411.71535576987475,1699.7436830265444
411.78774797941185,1699.4460044300706
411.86015291772367,1699.1483635219674
411.9325705870498,1698.8507602996674
412.00500098962567,1698.5531947606235
412.0774441276933,1698.2556669022604
412.14990000348894,1697.9581767220325
412.2223686192551,1697.6607242173616
412.29484997722926,1697.3633093857045
412.367344079653,1697.0659322244878
412.43985092876886,1696.7685927311468
412.5123705268151,1696.4712909031255
412.58490287603627,1696.1740267378514
412.65744797867154,1695.876800232767
412.73000583696637,1695.5796113853016
412.80257645316044,1695.282460192899
412.8751598295001,1694.985346652979
412.94775596822603,1694.6882707629875
413.02036487158364,1694.3912325203578
413.09298654181885,1694.094231922508
413.16562098117345,1693.7972689668854
413.2382681918957,1693.5003436509094
413.31092817622823,1693.2034559720253
413.38360093642,1692.9066059276465
413.4562864747143,1692.6097935152197
413.52898479336113,1692.3130187321567
413.60169589460446,1692.0162815759045
413.6744197806935,1691.7195820438824
413.7471564538776,1691.4229527791933
413.8199059164022,1691.1263752126495
413.8926681705191,1690.8298352566903
413.9654432184743,1690.5333329087496
414.03823106252054,1690.2368681662424
414.1110317049047,1689.9404410266059
414.18384514788,1689.6440514872575
414.2566713936943,1689.3476995456283
414.32951044460026,1689.0513851991398
414.40236230285086,1688.7551084452052
414.475226970695,1688.4588692812679
414.548104450388,1688.162667704732
414.6209947441796,1687.8665037130363
414.69389785432594,1687.5703773035852
414.76681378307745,1687.2742884738152
414.8397425326896,1686.9782372211364
414.9126841054182,1686.6822235429697
414.9856385035149,1686.3862474367425
415.05860572923774,1686.090308899865
415.1315857848395,1685.7944079297624
415.20457867257863,1685.498544523845
415.27758439470875,1685.202718679542
415.35060295348944,1684.9069303942597
415.42363435117466,1684.611179665421
415.49667859002363,1684.315466490444
415.5697356722955,1684.0197908667317
415.64280560024565,1683.7241527917135
415.7158883761357,1683.4285522627924
415.78898400222175,1683.1329892773922
415.86209248076614,1682.8374638329187
415.93521381402593,1682.541975926795
416.0083480042642,1682.2465255564227
416.08149505373876,1681.9511127192204
416.15465496471194,1681.6557374125998
416.22782773944687,1681.3603996339657
416.3010133802024,1681.0650993807367
416.37421188924367,1680.7698366503107
416.4474232688303,1680.4746114401141
416.52064752122845,1680.1794237475406
416.5938846486985,1679.8842735700136
416.66713465350574,1679.5891609049306
416.740397537916,1679.2940857496965
416.8136733041908,1678.9990481017298
416.88696195459823,1678.7040479584234
416.9602634914007,1678.409085317199
417.033577916867,1678.1141601754462
417.1069052332604,1677.8192725305835
417.1802454428506,1677.5244292048333
417.2535985479014,1677.2296632745542
417.32696455068196,1676.9349348274272
417.4003434534614,1676.6402438608545
417.4737352585051,1676.3455903722497
417.5471399680845,1676.050974359002
417.62055758446587,1675.7563958185253
417.6939881099213,1675.4618547482123
417.76743154671783,1675.167351145471
417.8408878971286,1674.8728850076927
417.9143571634212,1674.5784563322886
417.9878393478682,1674.2840651166525
418.06133445274247,1673.9897113581799
418.13484248031284,1673.6953950542759
418.20836343285447,1673.4011162023298
418.281897312637,1673.1068747997513
418.3554441219364,1672.8126708439243
418.4290038630232,1672.5185043322592
418.5025765381725,1672.2243752621455
418.57616214966015,1671.9302836309707
418.64976069975773,1671.636229436145
418.72337219074325,1671.3422126750488
418.7969966248891,1671.0482333450864
418.87063400447414,1670.7542914436426
418.9442843317715,1670.4603869681214
419.0179476090608,1670.1665199159065
419.09162383861604,1669.8726902843948
419.1653130227162,1669.57889807098
419.23901516364043,1669.285143273041
419.31273026366415,1668.9914258879821
419.3864583250688,1668.6977459131817
419.46019935013044,1668.404103346044
419.53395334113145,1668.1104981839444
419.6077203003488,1667.8169304242804
419.68150023006547,1667.5234000644334
419.7552931325592,1667.2299071018
419.82909901011254,1666.93645153376
419.9029178650083,1666.6430333576964
419.9767496995254,1666.349652571011
420.0505945159489,1666.0563091710694
420.1244523165585,1665.7630031552746
420.1983231036404,1665.4697345209995
420.2722068794747,1665.176503265639
420.3461036463469,1664.88330938657
420.42001340654275,1664.5901528811696
