time_days,Nuclei:Pb212 top 16
0.5800680201680872,85106234.9992863
0.580170013948678,85081330.82193312
0.580272025662909,85056428.06130262
0.5803740553139337,85031526.71846409
0.580476102904906,85006626.79448682
0.5805781684389804,84981728.29044029
0.5806802519193114,84956831.20739402
0.5807823533490537,84931935.54641783
0.5808844727313657,84907041.30858088
0.5809866100694026,84882148.49495313
0.5810887653663217,84857257.10660446
0.5811909386252807,84832367.14460471
0.5812931298494379,84807478.61002386
0.5813953390419522,84782591.50393187
0.5814975662059829,84757705.82739893
0.58159981134469,84732821.58149523
0.581702074461233,84707938.76729122
0.5818043555587749,84683057.38585675
0.5819066546404763,84658177.4382625
0.5820089717094995,84633298.92557892
0.5821113067690071,84608421.84887657
0.5822136598221623,84583546.20922604
0.5823160308721292,84558672.0076981
0.582418419922072,84533799.24536349
0.5825208269751547,84508927.92329326
0.5826232520345448,84484058.04255788
0.5827256951034073,84459189.60422863
0.582828156184909,84434322.60937645
0.5829306352822169,84409457.05907258
0.5830331323984987,84384592.9543882
0.5831356475369229,84359730.29639456
0.5832381807006582,84334869.08616309
0.583340731892874,84310009.32476513
0.5834433011167393,84285205.74452084
0.5835458883754266,84260420.97807811
0.583648493672106,84235637.65312581
0.5837511170099491,84210855.77073123
0.583853758392128,84186075.33196168
0.5839564178218157,84161296.33788466
0.5840590953021854,84136518.7895677
0.5841617908364107,84111742.68807837
0.5842645044276653,84086968.03448454
0.5843672360791263,84062194.8298535
0.5844699857939679,84037423.0752533
0.5845727535753665,84012652.77175178
0.5846755394264985,83987883.92041688
0.5847783433505414,83963116.52231668
0.5848811653506726,83938350.57851923
0.5849840054300708,83913586.09009261
0.5850868635919135,83888823.05810542
0.5851897398393827,83864061.48362532
0.5852926341756568,83839301.36772113
0.5853955466039169,83814542.7114611
0.5854984771273437,83789785.51591381
0.5856014257491192,83765029.78214782
0.5857043924724255,83740275.5112318
0.5858073773004453,83715522.70423445
0.5859103802363622,83690771.36222456
0.5860134012833589,83666021.48627125
0.5861164404446221,83641273.07744288
0.5862194977233356,83616526.13680877
0.5863225731226853,83591780.66543792
0.5864256666458572,83567036.66439953
0.5865287782960379,83542294.13476275
0.5866319080764149,83517553.07759681
0.5867350559901761,83492813.49397114
0.5868382220405084,83468075.38495535
0.5869414062306034,83443338.75161837
0.5870446085636494,83418603.59503007
0.5871478290428364,83393869.91626005
0.587251067671355,83369137.71637788
0.5873543244523965,83344406.99645343
0.5874575993891529,83319677.75755647
0.5875608924848161,83294952.9776944
0.5876642037425783,83270298.36208537
0.5877675331656348,83245645.22005787
0.5878708807571787,83220993.55267769
0.5879742465204046,83196343.3610107
0.5880776304585077,83171694.64612266
0.5881810325746835,83147047.4090795
0.5882844528721283,83122401.65094717
0.588387891354039,83097757.37279166
0.588491348023613,83073114.57567917
0.5885948228840472,83048473.26067597
0.5886983159385423,83023833.42884786
0.5888018271902961,82999195.08126138
0.5889053566425083,82974558.21898289
0.5890089042983792,82949922.8430788
0.5891124701611096,82925288.95461558
0.5892160542339006,82900656.55465984
0.5893196565199543,82876025.64427815
0.589423277022472,82851396.2245375
0.5895269157446589,82826768.2965041
0.5896305726897173,82802141.86124502
0.5897342478608517,82777516.91982716
0.5898379412612665,82752893.47331744
0.5899416528941671,82728271.52278288
0.5900453827627594,82703651.0692906
0.5901491308702497,82679032.11390774
0.5902528972198449,82654414.65770143
0.5903566818147515,82629798.70173922
0.5904604846581799,82605184.24708802
0.5905643057533373,82580571.2948154
0.5906681451034332,82555959.84598887
0.5907720027116775,82531349.9016759
0.5908758785812802,82506741.46294414
0.5909797727154524,82482134.5308612
0.5910836851174055,82457529.10649487
0.5911876157903506,82432925.19091311
0.5912915647375024,82408322.78518331
0.5913955319620728,82383721.8903736
0.5914995174672758,82359122.50755195
0.5916035212563255,82334524.63778643
0.5917075433324369,82309928.28214513
0.5918115836988254,82285377.12812793
0.5919156423587069,82260855.0118251
0.592019719315297,82236334.40209447
0.5921238145718147,82211815.29999948
0.5922279281314771,82187297.70660448
0.592332059997502,82162781.62297352
0.5924362101731085,82138267.05017073
0.592540378661516,82113753.98926046
0.5926445654659442,82089242.44130696
0.5927487705896138,82064732.4073745
0.592852994035746,82040223.8885276
0.592957235807561,82015716.88583095
0.5930614959082835,81991211.40034856
0.5931657743411352,81966707.43314527
0.5932700711093392,81942204.98528582
0.5933743862161196,81917704.05783488
0.5934787196647009,81893204.65185718
0.5935830714583081,81868706.76841763
0.5936874416001668,81844210.40858118
0.5937918300935023,81819715.57341293
0.5938962369415433,81795222.26397747
0.594000662147516,81770730.48134014
0.5941051057146485,81746240.22656606
0.5942095676461691,81721751.50072046
0.5943140479453067,81697264.30486858
0.5944185466152913,81672778.64007579
0.5945230636593526,81648294.50740744
0.5946275990807206,81623811.90792921
0.5947321528826286,81599330.84270617
0.5948367250683074,81574851.31280409
0.5949413156409894,81550373.31928858
0.5950459246039077,81525896.86322536
0.5951505519602958,81501421.94568017
0.5952551977133878,81476948.56771877
