time_days,Nuclei:Pu241 top 4
0.0037043629096039405,19294.503413104874
0.003705014250420352,19301.51828650003
0.0037056657057624883,19308.535018118087
0.0037063172756504927,19315.55298344653
0.0037069689601045034,19322.57218270222
0.0037076207591446642,19329.59261610211
0.0037082726727911226,19336.61428386317
0.003708924701064027,19343.637186202395
0.003709576843983538,19350.66132333692
0.0037102291015698127,19357.686695483808
0.003710881473843011,19364.71330286019
0.0037115339608232954,19371.74114568321
0.003712186562530843,19378.770224170145
0.003712839278985821,19385.800538538217
0.0037134921102084076,19392.83208900472
0.0037141450562187773,19399.86487578694
0.003714798117037121,19406.898899102314
0.003715451292683622,19413.934159168206
0.003716104583178471,19420.970656202073
0.003716757988541857,19428.00839042134
0.0037174115087939856,19435.047362043602
0.003718065143955054,19442.0875712864
0.003718718894045267,19449.129018367305
0.0037193727590848287,19456.171703503926
0.0037200267390939583,19463.215626914003
0.0037206808340928665,19470.260788815205
0.003721335044101773,19477.307189425308
0.0037219893691408995,19484.354828962056
0.0037226438092304685,19491.403707643265
0.003723298364390717,19498.45382568688
0.003723953034641874,19505.50518331073
0.0037246078200041752,19512.557780732783
0.003725262720497859,19519.611618170977
0.003725917736143174,19526.666695843385
0.003726572866960365,19533.723013968047
0.0037272281129696826,19540.780572763048
0.0037278834741913784,19547.839372446484
0.0037285389506457154,19554.90756837859
0.0037291945423529533,19561.990329388667
0.0037298502493333563,19569.074335718356
0.00373050607160719,19576.159587586546
0.0037311620091947328,19583.246085212304
0.003731818062116257,19590.333828814637
0.003732474230392042,19597.42281861258
0.003733130514042368,19604.51305482522
0.0037337869130875273,19611.60453767177
0.0037344434275478062,19618.697267371364
0.0037351000574434986,19625.791244143227
0.0037357568027949024,19632.886468206616
0.003736413663622314,19639.982939780788
0.003737070639946044,19647.080659085146
0.003737727731786398,19654.17962633904
0.0037383849391636865,19661.279841761858
0.0037390422620982213,19668.38130557304
0.003739699700610327,19675.484017992127
0.0037403572547203244,19682.58797923862
0.0037410149244485364,19689.69318953207
0.0037416727098152913,19696.799649092063
0.003742330610840927,19703.907358138313
0.0037429886275457775,19711.016316890455
0.0037436467599501816,19718.126525568205
0.0037443050080744806,19725.2379843913
0.0037449633719390278,19732.350693579596
0.003745621851564171,19739.46465335291
0.0037462804469702636,19746.579863931096
0.0037469391581776614,19753.696325534045
0.0037475979852067314,19760.81403838178
0.0037482569280778352,19767.933002694244
0.003748915986811343,19775.053218691482
0.003749575161427621,19782.174686593513
0.0037502344519470543,19789.297406620524
0.0037508938583900166,19796.42137899261
0.003751553380776893,19803.546603929983
0.0037522130191280684,19810.673189572877
0.0037528727734639296,19817.822041308693
0.0037535326438048783,19824.972149984205
0.003754192630171307,19832.12351582032
0.003754852732583617,19839.276139038102
0.0037555129510622094,19846.430019858562
0.003756173285627499,19853.585158502894
0.003756833736299894,19860.741555192213
0.00375749430309981,19867.899210147698
0.0037581549860476616,19875.058123590527
0.0037588157851638788,19882.218295742055
0.0037594767004688833,19889.379726823543
0.0037601377319831054,19896.542417056327
0.0037607988797269745,19903.706366661743
0.0037614601437209343,19910.871575861314
0.0037621215239854212,19918.03804487643
0.0037627830205408798,19925.205773928603
0.003763444633407754,19932.374763239328
0.003764106362606502,19939.54501303026
0.003764768208157575,19946.71652352298
0.0037654301700814304,19953.889294939116
0.0037660922483985313,19961.063327500386
0.003766754443129339,19968.238621428467
0.0037674167542943305,19975.415176945226
0.003768079181913973,19982.5929942724
0.0037687417260087452,19989.772073631873
0.0037694043865991226,19996.952415245472
0.0037700671637055957,20004.13401933521
0.0037707300573486474,20011.316886123004
0.0037713930675487696,20018.501015830876
0.0037720561943264523,20025.686408680805
0.0037727194377022008,20032.87306489496
0.003773382797696512,20040.060984695425
0.0037740462743298935,20047.25016830438
0.0037747098676228484,20054.440615943953
0.0037753735775958963,20061.632327836476
0.0037760374042695504,20068.825304204183
0.00377670134766433,20076.037069836693
0.003777365407800754,20083.25334244084
0.003778029584699357,20090.470883838545
0.0037786938783806656,20097.689694252855
0.0037793582888652143,20104.909773906867
0.0037800228161735403,20112.13112302375
0.0037806874603261813,20119.35374182667
0.0037813522213436886,20126.5776305389
0.003782017099246608,20133.802789383706
0.003782682094055491,20141.029218584383
0.00378334720579089,20148.256918364244
0.003784012434473371,20155.485888946765
0.0037846777801234933,20162.716130555324
0.003785343242761825,20169.947643413412
0.0037860088224089304,20177.180427744475
0.0037866745190853913,20184.414483772132
0.0037873403328117818,20191.64981171995
0.0037880062636086826,20198.886411811553
0.0037886723114966747,20206.124284270543
0.0037893384764963534,20213.36342932072
0.0037900047586283065,20220.603847185797
0.0037906711579131303,20227.845538089547
0.00379133767437142,20235.08850225575
0.003792004308023786,20242.332739908354
0.0037926710588908298,20249.57825127121
0.0037933379269931623,20256.825036568254
0.0037940049123513964,20264.073096023476
0.0037946720149861467,20271.32242986087
0.00379533923491804,20278.573038304545
0.0037960065721676984,20285.824921578576
0.0037966740267557485,20293.078079907085
0.00379734159870282,20300.332513514237
0.003798009288029554,20307.588222624287
0.0037986770947565866,20314.845207461487
0.00379934501890456,20322.10346825011
0.0038000130604941176,20329.363005214465
0.003800681219545915,20336.64203955042
0.0038013494960806036,20343.92453795162
0.00380201789011884,20351.20831679011
0.003802686401681281,20358.493376290975
0.0038033550307885983,20365.779716679437
0.003804023777461457,20373.06733818069
0.003804692641720527,20380.35624101996
0.0038053616235864817,20387.64642542249
0.003806030723080006,20394.937891613667
0.00380669994022178,20402.23063981883
0.003807369275032489,20409.524670263374
0.00380803872753282,20416.819983172703
0.0038087082977434727,20424.11657877237
0.0038093779856851412,20431.41445728784
0.0038100477913785256,20438.7136189447
0.0038107177148443312,20446.014063968527
0.0038113877561032623,20453.31579258493
0.0038120579151760367,20460.61880501967
0.0038127281920833666,20467.9231014984
0.0038133985868459724,20475.228682246907
0.0038140690994845705,20482.535547490927
0.0038147397300198962,20489.84369745638
0.003815410478472675,20497.15313236911
0.0038160813448636414,20504.463852455036
0.003816752329213527,20511.775857940054
0.003817423431543082,20519.089149050258
0.003818094651873045,20526.40372601162
0.003818765990224166,20533.71958905024
0.003819437446617193,20541.036738392184
0.0038201090210728873,20548.355174263674
0.003820780713612005,20555.674896890876
0.0038214525242553092,20562.99590650002
0.0038221244530235628,20570.31820331735
0.0038227964999375417,20577.641787569246
0.0038234686650180172,20584.966659482023
0.0038241409482857665,20592.296520313244
0.00382481334976157,20599.648895999777
0.0038254858694662082,20607.00256440933
0.003826158507420478,20614.357525769286
0.003826831263645167,20621.713780306927
0.003827504138161071,20629.07132824961
0.003828177130988985,20636.43016982471
0.00382885024214972,20643.790305259736
0.003829523471664078,20651.15173478213
0.00383019681955287,20658.514458619426
0.003830870285836906,20665.878476999125
0.0038315438705370103,20673.243790148936
0.0038322175736740013,20680.610398296452
0.0038328913952687025,20687.978301669347
0.0038335653353419406,20695.347500495314
0.0038342393939145535,20702.717995002185
0.003834913571007374,20710.089785417735
0.003835587866641242,20717.462871969794
0.0038362622808369965,20724.837254886213
0.0038369368136154914,20732.212934395
0.0038376114649975738,20739.589910724062
0.003838286235004098,20746.968184101424
0.0038389611236559215,20754.347754755097
0.0038396361309739027,20761.72862291316
0.0038403112569789137,20769.1107888038
0.00384098650169182,20776.494252655142
0.0038416618651334927,20783.879014695376
0.003842337347324807,20791.265075152725
0.0038430129482866474,20798.65243425555
0.0038436886680398943,20806.04109223212
0.0038443645066054363,20813.43104931081
0.0038450404640041594,20820.82230571999
0.003845716540256966,20828.214861688168
0.0038463927353847497,20835.608717443807
0.0038470690494084134,20843.003873215413
0.003847745482348859,20850.400329231517
0.003848422034227002,20857.79808572082
0.0038490987050637526,20865.197142911915
0.0038497754948800273,20872.597501033477
0.0038504524036967417,20879.999160314204
0.0038511294315348287,20887.402120982944
0.0038518065784152113,20894.806383268453
0.00385248384435882,20902.21194739958
0.0038531612293865878,20909.61881360518
0.0038538387335194596,20917.02698211425
0.0038545163567783743,20924.453850070604
0.003855194099184278,20931.88901803676
0.00385587196075812,20939.325493282424
0.003856549941520851,20946.763276037447
0.003857228041493435,20954.202366531757
0.003857906260696828,20961.64276499523
0.003858584599151996,20969.08447165785
0.003859263056879902,20976.527486749575
0.0038599416339015267,20983.97181050053
0.003860620330237841,20991.41744314075
0.0038612991459098236,20998.864384900367
0.003861978080938455,21006.31263600951
0.0038626571353447283,21013.762196698463
0.00386333630914963,21021.213067197416
0.003864015602374155,21028.66524773667
0.003864695015039296,21036.11873854652
0.003865374547166062,21043.5735398574
0.0038660541987754547,21051.02965189968
0.003866733969888483,21058.48707490382
0.003867413860526155,21065.94580910026
0.003868093870709495,21073.4058547196
0.003868774000459518,21080.867211992383
0.003869454249797248,21088.329881149217
0.0038701346187437124,21095.79386242076
0.0038708151073199386,21103.25915603766
0.0038714957155469684,21110.72576223072
0.0038721764434458367,21118.19368123069
0.0038728572910375837,21125.66291326836
0.003873538258343254,21133.133458574564
0.0038742193453839024,21140.605317380276
0.0038749005521805787,21148.07848991637
0.003875581878754341,21155.55297641385
0.0038762633251262445,21163.028777103682
0.0038769448913173617,21170.505892216992
0.003877626577348756,21177.984321984844
0.0038783083832414993,21185.46406663839
0.0038789903090166644,21192.94512640876
0.003879672354695336,21200.42750152724
0.0038803545202985936,21207.911192225063
0.0038810368058475246,21215.39619873354
0.0038817192113632143,21222.882521283947
0.0038824017368667644,21230.37016010778
0.0038830843823792686,21237.85911543639
0.0038837671479218278,21245.34938750126
0.0038844500335155478,21252.853905774726
0.0038851330391815337,21260.37066922717
0.0038858161649409045,21267.88875430519
0.003886499410814773,21275.408161241143
0.0038871827768242584,21282.928890267412
0.003887866262990481,21290.45094161641
0.0038885498693345764,21297.974315520707
0.0038892335958776703,21305.499012212793
0.003889917442640898,21313.02503192522
0.0038906014096453945,21320.552374890573
0.0038912854969123086,21328.08104134158
0.0038919697044627836,21335.611031510878
0.0038926540323179675,21343.14234563121
0.0038933384804990113,21350.67498393532
0.0038940230490270788,21358.208946656083
0.0038947077379233265,21365.74423402632
0.0038953925472089194,21373.28084627893
0.0038960774769050224,21380.81878364681
0.0038967625270328135,21388.358046362995
0.0038974476976134653,21395.898634660498
0.003898132988668158,21403.440548772367
0.0038988184002180693,21410.983788931655
0.003899503932284394,21418.528355371574
0.0039001895848883193,21426.074248325294
0.003900875358051039,21433.621468026013
0.003901561251793751,21441.170014707
0.003902247266137654,21448.71988860155
0.00390293340110396,21456.271089943042
