time_days,Nuclei:Lu177 top 13
2.7057259723234197e-05,0.0003151520692356653
2.7062017220830413e-05,0.0003161826410129686
2.7066775554940884e-05,0.00031721339399538406
2.7071534725712692e-05,0.00031824432821477147
2.707629473329295e-05,0.00031927544370299714
2.7081055577828795e-05,0.00032030674049193423
2.708581725946738e-05,0.0003213382186134593
2.70905797783559e-05,0.00032236987809945646
2.7095343134641575e-05,0.0003234017189818154
2.7100107328471636e-05,0.0003244337412924296
2.7104872359993355e-05,0.0003254659450632007
2.7109638229354018e-05,0.0003264983303260332
2.7114404936700946e-05,0.0003275308971128392
2.7119172482181487e-05,0.0003285636454555362
2.7123940865943004e-05,0.0003295965753860464
2.7128710088132895e-05,0.0003306296869362985
2.7133480148898586e-05,0.00033166298013822686
2.713825104838752e-05,0.0003326964550237702
2.7143022786747167e-05,0.0003337435947164348
2.7147795364125028e-05,0.00033483243935665156
2.715256878066863e-05,0.0003359214754480752
2.715734303652553e-05,0.0003370107030243686
2.71621181318433e-05,0.00033810012211919906
2.7166894066769533e-05,0.00033918973276624107
2.7171670841451875e-05,0.0003402795349991761
2.717644845603797e-05,0.0003413695288516891
2.7181226910675497e-05,0.00034245971435747235
2.718600620551218e-05,0.000343550091550227
2.719078634069573e-05,0.00034464066046365247
2.7195567316373915e-05,0.0003457314211314616
2.720034913269452e-05,0.00034682237358736893
2.720513178980536e-05,0.0003479135178650983
2.7209915287854267e-05,0.0003490048539983754
2.7214699626989105e-05,0.00035009638202093484
2.721948480735776e-05,0.0003511881019665165
2.7224270829108152e-05,0.0003522800138688653
2.7229057692388217e-05,0.0003533721177617331
2.723384539734592e-05,0.0003544644136788768
2.7238633944129263e-05,0.00035558696467264295
2.7243423332886256e-05,0.0003567370881185048
2.724821356376495e-05,0.00035788741379020277
2.7253004636913403e-05,0.00035903794172329124
2.7257796552479734e-05,0.0003601886719533373
2.7262589310612042e-05,0.0003613396045159066
2.72673829114585e-05,0.00036249073944657844
2.727217735516726e-05,0.00036364207678093216
2.727697264188654e-05,0.00036479361655455814
2.728176877176456e-05,0.0003659453588030493
2.7286565744949575e-05,0.0003670973035620083
2.7291363561589864e-05,0.0003682494508670417
2.7296162221833725e-05,0.000369401800753761
2.7300961725829504e-05,0.0003705543532577884
2.7305762073725542e-05,0.0003717071084147479
2.7310563265670235e-05,0.0003728600662602732
2.731536530181199e-05,0.0003740132268300024
2.732016818229925e-05,0.0003751665901595806
2.732497190728046e-05,0.00037632015628465745
2.732977647690411e-05,0.0003774739252408898
2.7334581891318732e-05,0.00037868007309942034
2.7339388150672848e-05,0.0003798942049671075
2.734419525511504e-05,0.0003811085503152072
2.7349003204793885e-05,0.00038232310918125194
2.735381199985801e-05,0.0003835378816027863
2.735862164045606e-05,0.00038475286761735977
2.7363432126736695e-05,0.0003859680672625261
2.7368243458848628e-05,0.00038718348057585026
2.7373055636940574e-05,0.00038839910759490016
