time_days,Ir194 top 4
0.0001241380998145375,0.18197623391105058
0.00012415992710663985,0.18211839958848772
0.00012418175823665072,0.18226059026298766
0.00012420359320524507,0.18240280593894645
0.00012422543201309776,0.18254504662076
0.00012424727466088384,0.18268731231282442
0.00012426912114927858,0.182829603019538
0.00012429097147895714,0.18297191874529853
0.00012431282565059508,0.18311425949450577
0.0001243346836648678,0.18325662527155884
0.00012435654552245108,0.18339901608085904
0.00012437841122402057,0.18354143192680727
0.00012440028077025228,0.18368387281380638
0.0001244221541618221,0.18382842905977773
0.00012444403139940627,0.18397337759639631
0.00012446591248368096,0.18411835161938944
0.0001244877974153226,0.18426335113323875
0.00012450968619500758,0.18440837614242586
0.0001245315788234126,0.18455342665143432
0.00012455347530121433,0.18469850266474705
0.0001245753756290897,0.18484360418684911
0.0001245972798077155,0.18498873122222498
0.00012461918783776896,0.18513388377536158
0.0001246410997199272,0.18527906185074494
0.00012466301545486765,0.1854242654528632
0.00012468493504326755,0.18556949458620395
0.00012470685848580467,0.18571474925525744
0.00012472878578315656,0.1858600294645129
0.00012475071693600101,0.186005335218461
0.000124772651945016,0.18615066652159365
0.0001247945908108795,0.1862960233784028
0.00012481653353426975,0.1864414057933822
0.00012483848011586487,0.18658681377102476
0.00012486043055634345,0.18673224731582624
0.0001248823848563838,0.1868777064322811
0.00012490434301666472,0.1870231911248866
0.00012492630503786482,0.1871687013981389
0.0001249482709206631,0.18731423725653673
0.00012497024066573841,0.1874597987045778
0.00012499221427377,0.18760538574676242
0.00012501419174543694,0.18775099838759016
0.00012503617308141875,0.18789663663156259
0.00012505815828239473,0.18804230048318085
0.0001250801473490446,0.18818798994694824
0.00012510214028204792,0.1883337050273675
0.0001251241370820847,0.18847944572894348
0.00012514613774983468,0.18862524621769045
0.0001251681422859781,0.18877375584774864
0.00012519015069119505,0.18892229159033
0.00012521216296616582,0.18907085345002606
0.0001252341791115709,0.18921944143142932
0.00012525619912809072,0.18936805553913225
0.00012527822301640609,0.1895166957777293
0.00012530025077719766,0.1896653621518144
0.00012532228241114642,0.18981405466598358
0.0001253443179189333,0.18996277332483263
0.00012536635730123956,0.1901115181329588
