time_days,Nuclei:Te129 top 9
0.00011609502498952823,274887.2201560123
0.00011611543806195209,275039.5395238807
0.00011613585472362122,275191.8856741474
0.00011615627497516683,275344.2586115218
0.00011617669881722001,275496.65834071336
0.00011619712625041221,275649.0848664337
0.00011621755727537476,275801.5381933938
0.00011623799189273928,275954.0183263066
0.00011625843010313739,276106.52526988526
0.00011627887190720079,276259.05902884324
0.0001162993173055615,276411.6196078967
0.00011631976629885137,276565.7858491896
0.0001163402188877026,276720.00145107054
0.0001163606750727473,276874.24416876526
0.00011638113485461792,277028.5140070425
0.00011640159823394675,277182.8109706698
0.00011642206521136646,277337.1350644177
0.00011644253578750961,277491.48629305547
0.00011646300996300904,277645.86466135515
0.00011648348773849756,277800.270174088
0.00011650396911460823,277954.70283602754
0.00011652445409197408,278109.16265194677
0.00011654494267122839,278263.64962662075
0.0001165654348530044,278418.1637648241
0.00011658593063793563,278572.7050713338
0.00011660643002665556,278727.2735509262
0.0001166269330197979,278881.8692083797
0.00011664743961799635,279036.4920484725
0.0001166679498218849,279191.14207598474
0.00011668846363209744,279345.8192956962
0.00011670898104926808,279500.5237123881
0.00011672950207403107,279655.2553308429
0.0001167500267070207,279810.0141558432
0.00011677055494887149,279964.80019217316
0.00011679108680021788,280119.61344461655
0.0001168116222616946,280274.4539179596
0.00011683216133393639,280429.3216169881
0.00011685270401757817,280584.2165464895
0.00011687325031325484,280739.1387112511
0.00011689380022160166,280894.0881160627
0.00011691435374325372,281049.06476571294
0.00011693491087884642,281204.06866499304
0.00011695547162901515,281359.0998186936
0.00011697603599439552,281514.1582316075
0.00011699660397562313,281669.2439085271
0.00011701717557333383,281824.75695654907
0.00011703775078816345,281981.5085049156
0.00011705832962074804,282138.2876149934
0.00011707891207172365,282295.0942916277
0.00011709949814172657,282451.9285396667
0.00011712008783139307,282608.7903639573
0.00011714068114135967,282765.67976934905
0.0001171612780722629,282922.59676069114
0.00011718187862473937,283079.5413428337
0.00011720248279942599,283236.51352062885
0.0001172230905969595,283393.5132989278
0.00011724370201797706,283550.54068258434
0.00011726431706311569,283707.5956764518
0.00011728493573301269,283864.6782853854
0.00011730555802830532,284021.78851424
0.00011732618394963113,284178.926367873
0.0001173468134976276,284336.09185114066
0.0001173674466729325,284493.28496890195
0.00011738808347618352,284650.5057260149
0.00011740872390801866,284807.7541273405
0.00011742936796907587,284965.0301777385
0.00011745001565999333,285122.333882071
0.00011747066698140923,285279.6652451999
0.000117491321933962,285437.0242719894
0.00011751198051828998,285594.4109673023
0.00011753264273503189,285751.8253360048
0.00011755330858482629,285909.2673829616
0.0001175739780683121,286066.73711304046
0.00011759465118612813,286224.23453110806
0.0001176153279389135,286381.7596420334
0.00011763600832730732,286539.3124506855
0.00011765669235194875,286696.89296193386
0.00011767738001347729,286854.5011806505
0.00011769807131253233,287012.1371117066
0.00011771876624975351,287169.800759975
0.00011773946482578048,287328.72384616756
0.0001177601670412531,287488.1318222494
0.00011778087289681126,287647.5678271231
0.00011780158239309503,287807.03186571726
0.00011782229553074453,287966.52394296037
0.00011784301231040007,288126.04406378325
0.00011786373273270197,288285.5922331163
0.00011788445679829079,288445.1684558917
0.00011790518450780704,288604.7727370415
0.00011792591586189153,288764.4050815001
0.00011794665086118497,288924.06549420074
0.00011796738950632847,289083.7539800799
0.00011798813179796289,289243.4705440726
0.00011800887773672956,289403.21519111673
0.00011802962732326962,289562.9879261493
0.0001180503805582246,289722.78875410993
0.00011807113744223591,289882.6176799377
0.00011809189797594515,290042.4747085727
0.00011811266215999411,290202.35984495707
0.00011813342999502459,290362.2730940323
0.00011815420148167858,290522.21446074196
0.0001181749766205981,290682.18395002955
0.00011819575541242542,290842.18156684056
0.0001182165378578027,291002.2073161196
0.0001182373239573725,291162.26120281446
0.00011825811371177717,291322.3432318712
0.00011827890712165951,291482.4534082395
0.00011829970418766213,291642.59173686744
0.00011832050491042801,291802.7582227057
0.00011834130929059998,291962.9528707045
0.00011836211732882125,292123.1756858164
0.00011838292902573493,292283.4266729932
0.00011840374438198442,292443.70583718934
0.00011842456339821304,292604.01318335836
0.00011844538607506444,292764.34871645615
0.00011846621241318214,292924.72642722883
0.00011848704241321002,293086.818373448
0.00011850787607579188,293248.93882038246
0.00011852871340157177,293411.08777304436
0.00011854955439119377,293573.26523644535
0.00011857039904530205,293735.47121559817
0.000118591247364541,293897.7057155173
0.000118612099349555,294059.96874121705
0.0001186329550009887,294222.2602977138
0.00011865381431948666,294384.5803900235
0.00011867467730569376,294546.92902316415
0.00011869554396025482,294709.30620215344
0.00011871641428381492,294871.7119320113
0.00011873728827701908,295034.1462177571
0.00011875816594051266,295196.60906441277
0.00011877904727494093,295359.1004769993
0.00011879993228094938,295521.62046054006
0.00011882082095918355,295684.169020058
0.00011884171331028921,295846.74616057856
0.00011886260933491206,296009.3518871264
0.00011888350903369813,296171.98620472837
0.00011890441240729335,296334.64911841095
0.00011892531945634394,296497.34063320304
0.00011894623018149607,296660.0607541326
0.00011896714458339623,296822.80948623054
0.00011898806266269084,296985.5868345271
0.00011900898442002644,297148.3928040533
0.00011902990985604985,297311.2273998425
0.0001190508389714078,297474.09062692744
0.00011907177176674734,297636.98249034287
0.0001190927082427154,297799.9029951235
0.00011911364839995928,297962.8521463058
0.00011913459223912611,298125.82994892605
0.00011915553976086344,298288.83640802273
0.00011917649096581866,298451.87152863404
0.00011919744585463947,298614.93531579984
0.00011921840442797354,298778.9004645388
0.0001192393666864688,298943.73310353205
0.00011926033263077314,299108.59472513816
0.00011928130226153467,299273.48533445346
0.00011930227557940159,299438.4049365744
0.00011932325258502223,299603.35353659955
0.0001193442332790449,299768.33113962656
0.00011936521766211829,299933.3377507562
0.00011938620573489093,300098.373375088
0.00011940719749801164,300263.438017724
0.00011942819295212926,300428.53168376605
0.00011944919209789282,300593.6543783178
0.00011947019493595145,300758.8061064834
0.00011949120146695426,300923.9868733669
0.00011951221169155069,301089.1966840753
0.00011953322561039008,301254.43554371444
0.00011955424322412213,301419.703457393
0.00011957526453339637,301585.0004302186
0.00011959628953886275,301750.32646730164
0.000119617318241171,301915.68157375144
0.00011963835064097129,302081.06575468055
0.00011965938673891364,302246.47901519976
0.00011968042653564837,302411.92136042344
0.00011970147003182578,302577.39279546443
0.00011972251722809646,302742.8933254387
0.00011974356812511083,302908.422955461
0.00011976462272351976,303073.981690649
0.00011978568102397396,303239.56953611923
0.00011980674302712442,303405.186496991
0.00011982780873362211,303570.832578383
0.00011984887814411832,303736.5077854163
0.00011986995125926418,303902.2121232111
0.00011989102807971123,304067.94559689064
0.00011991210860611084,304233.70821157657
0.00011993319283911474,304399.4999723942
0.00011995428077937463,304565.72028091777
0.00011997537242754229,304733.29306703596
0.00011999646778426978,304900.895317569
0.00012001756685020912,305068.5270376968
0.00012003866962601255,305236.1882326016
0.0001200597761123323,305403.8789074654
0.00012008088630982091,305571.5990674724
0.00012010200021913078,305739.34871780605
0.00012012311784091468,305907.1278636526
0.00012014423917582531,306074.9365101975
0.0001201653642245156,306242.7746626286
0.00012018649298763848,306410.6423261331
0.00012020762546584713,306578.5395059006
0.00012022876165979473,306746.4662071204
0.00012024990157013465,306914.422434984
0.0001202710451975203,307082.4081946822
0.00012029219254260535,307250.4234914087
0.00012031334360604336,307418.46833035577
0.00012033449838848822,307586.5427167188
0.00012035565689059378,307754.6466556924
0.00012037681911301417,307922.78015247366
0.00012039798505640348,308090.9432122592
0.0001204191547214159,308259.1358402467
0.0001204403281087059,308427.35804163583
0.0001204615052189279,308595.6098216261
0.0001204826860527366,308763.89118541876
0.00012050387061078662,308932.20213821484
0.00012052505889373291,309100.5426852179
0.00012054625090223029,309268.91283163056
0.00012056744663693393,309437.312582658
0.00012058864609849891,309605.74194350507
0.00012060984928758067,309774.20091937884
0.00012063105620483446,309942.6895154854
0.00012065226685091598,310111.2077370342
0.00012067348122648069,310279.7555892329
0.00012069469933218451,310448.63025187916
0.00012071592116868319,310618.9732038241
0.0001207371467366328,310789.3461072631
0.00012075837603668939,310959.7489674623
0.00012077960906950923,311130.1817896893
0.00012080084583574858,311300.6445792119
0.00012082208633606399,311471.1373412999
0.00012084333057111193,311641.6600812226
0.00012086457854154917,311812.2128042519
0.00012088583024803247,311982.79551565927
0.00012090708569121865,312153.408220717
0.00012092834487176487,312324.05092469987
0.0001209496077903282,312494.72363288194
0.00012097087444756594,312665.4263505395
0.00012099214484413541,312836.15908294823
0.00012101341898069418,313006.9218353866
0.00012103469685789975,313177.7146131323
0.00012105597847640995,313348.53742146527
0.00012107726383688251,313519.39026566513
0.00012109855293997549,313690.2731510138
0.00012111984578634687,313861.1860827928
0.0001211411423766549,314032.12906628585
0.00012116244271155779,314203.10210677626
0.00012118374679171406,314374.10520954954
0.00012120505461778216,314545.1383798912
0.00012122636619042081,314716.20162308833
0.00012124768151028866,314887.29494442814
0.00012126900057804473,315058.4183492
0.0001212903233943479,315229.57184269273
0.00012131164995985736,315400.7554301977
0.00012133298027523228,315571.9691170057
0.00012135431434113199,315743.212908409
0.00012137565215821602,315914.4868097015
0.00012139699372714385,316085.7908261767
0.00012141833904857528,316257.1249631306
0.00012143968812316999,316428.9926200493
0.00012146104095158802,316602.13405360846
0.0001214823975344893,316775.3059307194
0.0001215037578725341,316948.50825673604
0.00012152512196638255,317121.74103701115
0.0001215464898166952,317295.00427690067
0.0001215678614241324,317468.29798175924
0.00012158923678935487,317641.6221569445
0.00012161061591302326,317814.97680781304
0.0001216319987957985,317988.3619397244
0.00012165338543834152,318161.77755803725
0.00012167477584131341,318335.2236681127
0.00012169617000537533,318508.70027531165
0.00012171756793118869,318682.2073849969
0.0001217389696194148,318855.7450025309
0.00012176037507071533,319029.313133279
0.00012178178428575181,319202.911782605
0.00012180319726518619,319376.54095587635
0.00012182461400968022,319550.20065845933
