time_days,Nuclei:I132 top 2
0.00032844071538749544,81849.36658956396
0.0003284984653566328,81884.4003568275
0.00032855622547998904,81919.44028408639
0.0003286139957593497,81954.48637242394
0.00032867177619650036,81989.53862292331
0.0003287295667932273,82024.59703666808
0.0003287873675513166,82059.6616147418
0.00032884517847255534,82094.73235822855
0.00032890299955873006,82129.80926821215
0.00032896083081162847,82164.89234577712
0.0003290186722330379,82199.98159200765
0.00032907652382474647,82235.07700798857
0.00032913438558854224,82270.17859480453
0.0003291922575262141,82305.28635354074
0.0003292501396395504,82340.4002852822
0.00032930803193034097,82375.5203911145
0.0003293659344003748,82410.64667212311
0.0003294238470514421,82445.77912939388
0.0003294817698853327,82480.91776401269
0.00032953970290383724,82516.0625770658
0.00032959764610874647,82551.21356963959
0.0003296555995018513,82586.37074282035
0.0003297135630849434,82621.53409769516
0.0003297715368598142,82656.70363535066
0.00032982952082825603,82691.87935687417
0.00032988751499206094,82727.06126335284
0.00032994551935302185,82762.24935587432
0.0003300035339129315,82797.44363552617
0.00033006155867358334,82832.64410339636
0.0003301195936367708,82867.8507605729
0.00033017763880428813,82903.06360814416
0.0003302356941779291,82938.28264719839
0.0003302937597594888,82973.50787882447
0.00033035183555076155,83008.73930411106
0.000330409921553543,83043.97692414738
0.00033046801776962827,83079.48520435045
0.00033052612420081347,83115.12955133979
0.0003305842408488944,83150.7801656828
0.00033064236771566794,83186.43704848163
0.00033070050480293043,83222.1002008382
0.0003307586521124793,83257.76962385517
0.0003308168096461116,83293.44531863484
0.00033087497740562534,83329.12728628026
0.00033093315539281846,83364.8155278942
0.0003309913436094891,83400.51004457977
0.00033104954205743614,83436.21083744045
0.0003311077507384584,83471.91790757964
0.00033116596965435536,83507.63125610122
0.0003312241988069264,83543.35088410896
0.00033128243819797174,83579.07679270719
0.00033134068782929125,83614.80898299997
0.0003313989477026858,83650.54745609203
0.000331457217819956,83686.29221308792
0.00033151549818290335,83722.04325509268
0.00033157378879332893,83757.80058321118
0.00033163208965303505,83793.564198549
