Epsilon_beta,Time [Days]
24556034.24928732,17.453240372519645
24541990.416446738,17.456309188429604
24527950.92077132,17.45937854393169
24513915.762159977,17.462448439120784
24499884.94051123,17.46551887409177
24485858.455723133,17.468589848939565
24471836.30769357,17.471661363759065
24457818.49631953,17.474733418645272
24443805.021498024,17.47780601369312
24429795.88312559,17.48087914899758
24415791.08109824,17.48395282465365
24401790.61531173,17.487027040756338
24387794.485661298,17.490101797400673
24373802.69204181,17.493177094681702
24359815.234347925,17.496252932694446
24345832.112473413,17.49932931153405
24331853.326312065,17.502406231295577
24317878.875757165,17.505483692074137
24303908.760701593,17.508561693964857
24289942.9810378,17.51164023706288
24275981.536657836,17.514719321463367
24262024.427453343,17.5177989472615
24248071.653315783,17.52087911455244
24234123.21413568,17.523959823431458
24220179.10980362,17.52704107399375
24206239.340209655,17.530122866334562
24192303.905243456,17.533205200549162
24178376.326564893,17.536288076732813
24164539.697353344,17.539371494980823
24150707.35388106,17.542455455388502
24136879.29604309,17.545539958051172
24123055.523734134,17.548625003064153
24109236.03684817,17.551710590522866
24095420.835279174,17.55479672052266
24081609.918920543,17.557883393158924
24067803.28766532,17.560970608527082
24054000.94140609,17.564058366722556
24040202.880035143,17.56714666784079
24026409.10344427,17.570235511977252
24012619.611525085,17.573324899227384
23998834.40416828,17.576414829686748
23985053.481264684,17.579505303450826
23971276.842704583,17.58259632061515
23957504.48837772,17.58568788127526
23943736.418173593,17.58877998552672
23929972.631981257,17.591872633465115
23916213.12968935,17.59496582518604
23902457.911186244,17.598059560785074
23888706.976359554,17.601153840357917
23874960.32509683,17.60424866400018
23861217.95728516,17.60734403180753
23847479.872811235,17.61043994387564
23833746.07156124,17.61353640030022
23820016.55342113,17.616633401176976
23806291.31827631,17.61973094660164
23792570.366011824,17.622829036669962
23778853.696512565,17.625927671477676
23765141.30966248,17.62902685112063
23751433.205345612,17.632126575694585
23737729.383445393,17.63522684529536
23724029.84384495,17.638327660018785
23710334.586426947,17.641429019960714
23696643.611073636,17.644530925217012
23682956.917666975,17.647633375883558
23669274.50608854,17.65073637205622
23655596.37621919,17.653839913830982
23641922.527939703,17.656944001303746
23628252.961130403,17.66004863457046
23614637.295754537,17.663153813727092
23601064.466697343,17.66625953886963
23587495.870981447,17.669365810094067
23573931.508492514,17.672472627496433
23560371.3791159,17.67557999117275
23546815.4827366,17.678687901219043
23533263.81923888,17.681796357731447
23519716.388506986,17.68490536080601
23506173.190424614,17.688014910538843
23492634.22487516,17.69112500702606
23479099.491741553,17.694235650363794
23465568.990906328,17.6973468406482
23452042.722251613,17.700458577975454
23438520.685659345,17.70357086244171
23425002.88101059,17.706683694143223
23411489.308186483,17.709797073176198
23397979.96706759,17.71291099963686
