# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.07344277281554E-004     3.24040730492652E+019     1.72949163297178E+018     2.34401140497244E+019     6.76026993396941E+017     4.55866562324918E+010     2.53191856452494E+009     1.34075027645128E+016     1.08938453848177E+015     6.34703862916604E+004     0.00000000000000E+000
  1.07344861301896E-004     3.24056890966558E+019     1.73277159545148E+018     2.34401164628516E+019     6.75928277868610E+017     4.65461008415116E+010     4.64088063424396E+009     1.36897145553470E+016     1.99247968068821E+015     6.12621358542388E+004     0.00000000000000E+000
  1.07346029342581E-004     3.24074111181222E+019     1.73242637688797E+018     2.34401212887583E+019     6.75845350640058E+017     4.74111282850435E+010     6.95756382562158E+009     1.39441398649251E+016     2.98453984051662E+015     5.85556312983735E+004     0.00000000000000E+000
  1.07348365423950E-004     3.24084477087642E+019     1.73571051704579E+018     2.34401309400443E+019     6.75807812625891E+017     4.78748950701782E+010     8.36566056186910E+009     1.40805066322846E+016     3.58756046631493E+015     5.68186688168844E+004     0.00000000000000E+000
  1.07353037586689E-004     3.24087588561736E+019     1.73252491326132E+018     2.34401502418039E+019     6.75812622989263E+017     4.80110550497721E+010     8.80901694170606E+009     1.41204549698248E+016     3.77751726274323E+015     5.62575281739744E+004     0.00000000000000E+000
  1.07362381912167E-004     3.24087699180595E+019     1.72898163493408E+018     2.34401888429490E+019     6.75847498123706E+017     4.80280159968282E+010     8.88229579633957E+009     1.41252372234504E+016     3.80910208942808E+015     5.61573279736476E+004     0.00000000000000E+000
  1.07381070563124E-004     3.24087070911299E+019     1.73140976507954E+018     2.34402660360064E+019     6.75921818237796E+017     4.80194803772295E+010     8.89080481974810E+009     1.41223125027297E+016     3.81315505608432E+015     5.61315981805918E+004     0.00000000000000E+000
  1.07418447865036E-004     3.24085655643728E+019     1.72853848206362E+018     2.34404203853073E+019     6.76070733343883E+017     4.79988562699322E+010     8.89572252248968E+009     1.41154164325679E+016     3.81607867249918E+015     5.60954780585647E+004     0.00000000000000E+000
  1.07493202468861E-004     3.24082784429955E+019     1.71845603361137E+018     2.34407289367175E+019     6.76368804074226E+017     4.79577442352212E+010     8.90489811942150E+009     1.41016581535322E+016     3.82164203444332E+015     5.60237127937793E+004     0.00000000000000E+000
  1.07583392978743E-004     3.24080274440441E+019     1.70577678821939E+018     2.34411009762457E+019     6.76822953916105E+017     4.79086578541045E+010     8.91581931756411E+009     1.40851997066367E+016     3.82828918238774E+015     5.59366700006635E+004     0.00000000000000E+000
  1.07682616103910E-004     3.24077742595216E+019     1.69533099868446E+018     2.34415100014891E+019     6.77348537654051E+017     4.78552937102924E+010     8.92766211269477E+009     1.40672676977114E+016     3.83552746338706E+015     5.58403429342441E+004     0.00000000000000E+000
  1.07791777823617E-004     3.24075117664964E+019     1.69475861120422E+018     2.34419596639728E+019     6.77926983849476E+017     4.77973372169676E+010     8.94048695641302E+009     1.40477459383145E+016     3.84340280753828E+015     5.57337173393074E+004     0.00000000000000E+000
  1.07911875489584E-004     3.24072184037190E+019     1.68950935574406E+018     2.34424539715662E+019     6.78563944679342E+017     4.77344600860749E+010     8.95435452857004E+009     1.40265115941641E+016     3.85196348480124E+015     5.56156703670051E+004     0.00000000000000E+000
  1.08044006940529E-004     3.24068815136867E+019     1.67577232903612E+018     2.34429973211504E+019     6.79265639256293E+017     4.76663211700520E+010     8.96932517107240E+009     1.40034351813841E+016     3.86126017379180E+015     5.54849608098238E+004     0.00000000000000E+000
  1.08189380711933E-004     3.24065191449332E+019     1.66389947717532E+018     2.34435945345939E+019     6.80038544391012E+017     4.75925672431285E+010     8.98545794309378E+009     1.39783805338155E+016     3.87134593189617E+015     5.53402195639670E+004     0.00000000000000E+000
  1.08349327300685E-004     3.24061320871477E+019     1.65762754678676E+018     2.34442508982288E+019     6.80890167686332E+017     4.75128337484554E+010     9.00280949481727E+009     1.39512047589051E+016     3.88227616198648E+015     5.51799404665615E+004     0.00000000000000E+000
  1.08525311596163E-004     3.24056968400735E+019     1.64385370731887E+018     2.34449722060694E+019     6.81828411882078E+017     4.74267453564970E+010     9.02143275905304E+009     1.39217581464709E+016     3.89410859271202E+015     5.50024719546473E+004     0.00000000000000E+000
  1.08718946601959E-004     3.24052232247443E+019     1.63407186164957E+018     2.34457648049887E+019     6.82862897704993E+017     4.73339161384851E+010     9.04137545673067E+009     1.38898839862426E+016     3.90690329079459E+015     5.48060101515570E+004     0.00000000000000E+000
  1.08932008584813E-004     3.24047028990364E+019     1.62106658490176E+018     2.34466356449980E+019     6.84003331781165E+017     4.72339490640463E+010     9.06267842289471E+009     1.38554182264951E+016     3.92072273319626E+015     5.45885940958144E+004     0.00000000000000E+000
  1.09166453802647E-004     3.24041338856306E+019     1.60909972934735E+018     2.34475923318936E+019     6.85261327702163E+017     4.71264344673279E+010     9.08537376548806E+009     1.38181888932851E+016     3.93563197314588E+015     5.43481040516537E+004     0.00000000000000E+000
  1.09424436976850E-004     3.24035210407459E+019     1.60585262454280E+018     2.34486431837587E+019     6.86649340873146E+017     4.70109470226459E+010     9.10948288203956E+009     1.37780151657145E+016     3.95169894409425E+015     5.40822639496193E+004     0.00000000000000E+000
