time_days,Ir194 top 1
0.0485487159765048,51606.23786414101
0.048557252332437316,51615.27096740606
0.048565790189323554,51624.30565831221
0.04857432954742736,51633.341937138255
0.04858287040701271,51642.37980416322
0.04859141276834358,51651.41925966609
0.04859995663168403,51660.46030392593
0.04860850199729818,51669.50293722188
0.04861704886545016,51678.54715983312
0.04862559723640407,51687.59297203877
0.04863414711042433,51696.64037411825
0.048642698487775145,51705.68936635085
0.04865125136872084,51714.73994901588
0.04865980575352579,51723.792122392784
0.048668361642454416,51732.84588676102
0.04867691903577121,51741.90124240009
0.04868547793374067,51750.95818958956
0.048694038336627284,51760.01672860898
0.04870260024469582,51769.07685973817
0.04871116365821087,51778.13858325673
0.04871972857743713,51787.201899444466
0.04872829500263933,51796.266808581124
0.0487368629340823,51805.33331094665
0.04874543237203087,51814.40140682085
0.04875400331674993,51823.47109648374
0.0487625757685044,51832.54238021533
0.0487711497275592,51841.615258295526
0.04877972519417952,51850.68973100468
0.048788302168630365,51859.76579862283
0.048796880651176835,51868.843461430144
0.04880546064208411,51877.92271970692
0.04881404214161742,51887.00357373344
0.04882262515004201,51896.08602379005
0.04883120966762319,51905.16910570602
0.048839795694626244,51914.251722821544
0.048848383231316725,51923.33593627672
0.048856972277960015,51932.421746352025
0.04886556283482161,51941.509153327876
0.048874154902167045,51950.59815748484
0.0488827484802619,51959.68875910352
0.04889134356937183,51968.780958464595
0.04889994016976252,51977.874755848745
0.04890853828169968,51986.970151536705
0.04891713790544901,51996.0671458092
0.0489257390412765,52005.16573894722
0.048934341689447956,52014.26593123165
0.04894294585022927,52023.36772294336
0.0489515515238864,52032.47111436336
0.04896015871068538,52041.57610577271
0.04896876741089226,52050.68269745248
0.04897737762477314,52059.79088968384
0.04898598935259408,52068.9006827479
0.04899460259462145,52078.01207692604
0.04900321735112141,52087.12507249948
0.04901183362236026,52096.23966974958
0.049020451408604324,52105.3558689577
0.04902907071011999,52114.473670405285
0.049037691527173695,52123.59307437384
0.04904631386003192,52132.71408114489
0.04905493770896108,52141.836690999924
0.04906356307422795,52150.96090422076
0.04907218995609905,52160.08672108901
0.04908081835484104,52169.2141418864
0.04908944827072063,52178.34316689471
0.049098079704004594,52187.47379639579
0.049106712654959736,52196.6060306715
0.0491153471238529,52205.739870003796
0.04912398311095099,52214.87531467465
0.04913262061652087,52224.012364965994
0.049141259640829694,52233.15102116012
0.04914990018414444,52242.29128353903
0.04915854224673216,52251.4331523849
0.04916718582886004,52260.57662798004
0.049175830930795215,52269.72171060663
0.04918447755280494,52278.868400547064
0.04919312569515648,52288.016698083695
0.04920177535811707,52297.16660349887
0.049210426541954254,52306.31811707523
0.049219079246935374,52315.46834306192
0.04922773347332788,52324.62002627179
0.04923638922139928,52333.773317954896
0.04924504649141715,52342.92821839377
0.049253705283649085,52352.0847278711
0.04926236559836274,52361.24284666953
0.04927102743582571,52370.40257507171
0.04927969079630594,52379.56391336059
0.04928835568007112,52388.72686181895
0.049297022087389106,52397.89142072963
0.04930569001852776,52407.05759037556
0.049314359473755044,52416.22537103974
0.04932303045333892,52425.39476300517
0.049331702957547414,52434.56576655497
0.04934037698664862,52443.738381972245
0.04934905254091057,52452.91260954007
0.0493577296206016,52462.08844954189
0.04936640822598984,52471.26590226085
0.04937508835734356,52480.44496798031
0.04938377001493108,52489.62564698363
0.04939245319902073,52498.80793955422
0.049401137909880946,52507.99184597561
0.049409824147780175,52517.17736653129
0.04941851191298682,52526.36450150474
0.0494272012057696,52535.55325117976
0.04943589202639704,52544.74361583996
0.049444584375137775,52553.93559576908
0.04945327825226049,52563.12919125084
0.04946197365803391,52572.32440256912
0.04947067059272684,52581.521230007755
0.04947936905660811,52590.71967385068
0.04948806904994659,52599.9197343819
0.04949677057301111,52609.12141188532
0.04950547362607083,52618.324706645166
0.04951417820939469,52627.52961894554
0.04952288432325174,52636.73614907059
0.049531591967911105,52645.9442973045
0.04954030114364194,52655.15406393158
0.049549011850713455,52664.36544923615
0.049557724089394926,52673.57845350258
0.04956643785995554,52682.793077015216
0.049575153162664844,52692.009320058685
0.04958386999779214,52701.22718291745
0.04959258836560688,52710.44666587604
0.049601308266378555,52719.66492931638
0.049610029700376694,52728.884584405656
0.049618752667870906,52738.1058599094
0.04962747716913082,52747.32875611232
0.04963620320442603,52756.55327329907
0.04964493077402644,52765.77941175456
0.049653659878201736,52775.007171763566
0.049662390517221745,52784.236553610936
0.04967112269135635,52793.46755758164
0.049679856400875466,52802.70018396062
0.04968859164604905,52811.93443303292
0.04969732842714714,52821.17030508361
0.04970606674443978,52830.40780039783
0.049714806598197,52839.64691926067
0.049723547988689124,52848.88766195752
0.04973229091618629,52858.13002877359
0.049741035380958726,52867.37401999419
0.04974978138327675,52876.61963590468
0.0497585289234107,52885.866876790555
0.049767278001630964,52895.11574293723
0.04977602861820801,52904.36623463027
0.04978478077341222,52913.61835215514
0.04979353446751431,52922.87209579767
0.04980228970078479,52932.127465843434
0.04981104647349428,52941.38446257817
0.04981980478591346,52950.643086287666
0.049828564638313075,52959.90333725774
0.049837326030963885,52969.16521577428
0.04984608896413671,52978.428722123186
0.04985485343810235,52987.69385659039
0.04986361945313189,52996.96061946209
0.04987238700949621,53006.22901102426
0.049881156107466317,53015.49903156303
0.049889926747313275,53024.770681364615
0.0498986989293082,53034.04396071523
0.04990747265372225,53043.31886990115
0.04991624792082662,53052.595409208705
0.049925024730892574,53061.87357892427
